category,feature,H1_mean,H1_t,H2_mean,H2_t
H_lagged,h_ret_lag_6,-5.206709,-0.4958164136249723,0.41536254,0.05513289129546952
H_lagged,h_ret_lag_3,0.89009047,0.078255237483297,-0.04217349,-0.004982543622330613
G_calendar,g_dow_sin,-8.833343,-1.10198062993591,-0.5338586,-0.09759205161310348
G_calendar,g_hour_cos,-8.833343,-1.10198062993591,-0.5338586,-0.09759205161310348
G_calendar,g_hour_sin,-8.833343,-1.10198062993591,-0.5338586,-0.09759205161310348
G_calendar,g_is_us_session,-8.833343,-1.10198062993591,-0.5338586,-0.09759205161310348
G_calendar,g_dow_cos,-8.833343,-1.10198062993591,-0.5338586,-0.09759205161310348
G_calendar,g_is_asia_session,-8.833343,-1.10198062993591,-0.5338586,-0.09759205161310348
G_calendar,g_is_weekend,-8.833343,-1.10198062993591,-0.5338586,-0.09759205161310348
G_calendar,g_day_of_month,-8.833343,-1.10198062993591,-0.5338586,-0.09759205161310348
J_regime_cond,j_ret_in_high_vol,-8.833343,-1.10198062993591,-0.5338586,-0.09759205161310348
J_regime_cond,j_funding_in_high_vol,-8.833343,-1.10198062993591,-0.5338586,-0.09759205161310348
I_funding_accum,i_pos_funding_share_7d,0.8013331,0.04189384704538742,-1.1191541,-0.19949869353206065
K_volvol,k_max_drawdown_7d,12.902513,0.7429073938127677,-1.1358817,-0.3689287032754066
I_funding_accum,i_cum_funding_30d,10.368127,0.552488413904289,-1.6245437,-0.30254692587648097
H_lagged,h_sign_change,-13.864744,-1.5914389609809931,-2.2260835,-0.4209434621925907
I_funding_accum,i_cum_funding_7d,11.660937,0.6312819994124371,-3.0824175,-0.586304529708228
J_regime_cond,j_funding_in_low_vol,-8.782905,-1.1583925968514548,-3.6524186,-0.7056816651005966
L_3way_inter,l_corr_beta_rvol,-14.807469,-1.43943455702784,-4.7595124,-0.6898233281572607
L_3way_inter,l_atr_bars_funding,-3.3478453,-0.35564870024867773,-5.2943053,-0.9058392058429362
K_volvol,k_rvol_std_30d,-16.891356,-1.7829137629158718,-6.966432,-1.1305870723344642
J_regime_cond,j_ret_in_btc_up,-6.5326924,-0.6057124930614366,-10.064222,-1.2178881648739235
L_3way_inter,l_rvol_mom_funding,-11.817586,-1.2502079783055908,-11.884611,-1.672430785317484
K_volvol,k_return_kurt_30d,-8.311818,-0.8143021962906867,-12.715284,-1.8336389065788152
K_volvol,k_return_skew_30d,-9.335499,-0.9037583758428498,-14.438553,-2.06342449770752
L_3way_inter,l_mom_funding_idio,-8.575388,-0.8580557359464376,-14.55609,-1.997956497315361
L_3way_inter,l_obv_funding_rvol,-15.64143,-1.5047790369089262,-16.618597,-2.5288385656931243
K_volvol,k_max_gain_7d,0.04547008,0.0035653384395513995,-17.636103,-2.1592944961444376
H_lagged,h_ret_lag_2,-11.343018,-0.9820275932333014,-17.91922,-2.008044340894751
I_funding_accum,i_max_abs_funding_7d,-15.627557,-1.7546682118657617,-17.939686,-3.0071159951687654
J_regime_cond,j_ret_in_btc_down,-14.1709175,-1.41045297232193,-18.226505,-2.351952128669111
I_funding_accum,i_funding_volatility_7d,-13.610967,-1.470783115926839,-18.508478,-3.086147797077297
H_lagged,h_ret_lag_1,-15.766505,-1.3683212464970111,-19.075363,-2.0801451952496177
H_lagged,h_ret_12h_change,-15.612435,-1.2954260810224596,-23.147745,-2.3877219125174234
K_volvol,k_vol_change_30d,-4.564785,-0.4269448053858927,-26.536837,-3.402757979930467
J_regime_cond,j_ret_in_low_vol,-11.87027,-0.9595111613631994,-27.756868,-2.804357481306599
H_lagged,h_ret_24h_change,-8.859091,-0.6966355636568348,-28.376352,-2.996860839209154
