symbol,open_time,return_1d,atr_pct,obv_z_1d,vwap_slope_96,bars_since_high,bars_since_high_xs_rank,autocorr_pctile_7d,corr_to_btc_1d,beta_to_btc_change_5d,idio_vol_to_btc_1h,idio_vol_to_btc_1d,funding_rate,funding_rate_z_7d,funding_rate_1d_change,rvol_7d,ret_3d,btc_rvol_7d,resid_rev_2,resid_rev_3,pred_long,pred_short
0GUSDT,2026-05-29 00:00:00+00:00,0.0023342671,0.0021683339,0.17240527,0.0013344707,983.0,0.86285716,0.9543651,0.674994,0.29033744,0.00097050663,0.0017541725,-6.035e-05,0.12768197,0.00026179,0.002249201293131184,-0.10130306851618331,0.0009791379048224062,-0.015532711520791054,-0.03867056593298912,-0.024129113,-0.06506875
1000BONKUSDT,2026-05-29 00:00:00+00:00,-0.049356967,0.0027716476,0.4982031,0.0006412094,691.0,0.5285714,0.27728173,0.7933891,-0.29293948,0.0011539325,0.0015262295,-8.54e-05,-1.2313414,-4.106e-05,0.0020654998172277314,-0.09800033052388035,0.0009791379048224062,-0.0042857821099460125,-0.019347797613590956,-0.05031357,-0.036829572
1000FLOKIUSDT,2026-05-29 00:00:00+00:00,-0.029256256,0.0022315057,0.53922087,0.0008174019,691.0,0.5285714,0.49007937,0.82565856,-0.103927135,0.00064145186,0.0012479161,-0.0002379,-0.20791495,-0.00019284,0.0019302639754948147,-0.06879024059640804,0.0009791379048224062,0.00014744134387001395,-0.01299696514615789,-0.0055778176,-0.0015274119
1000PEPEUSDT,2026-05-29 00:00:00+00:00,-0.023990553,0.0023564948,0.19913764,0.00070714485,389.0,0.28857142,0.25,0.80281323,-0.24190544,0.0010461453,0.0013382812,-3.376e-05,-0.14124775,-6.531e-05,0.0018858513092376529,-0.05954699760698978,0.0009791379048224062,-0.0009991186670958996,-0.016127933282405138,-0.0383356,-0.04256111
1000SHIBUSDT,2026-05-29 00:00:00+00:00,-0.012313913,0.0016051744,0.42509896,0.0008039439,936.0,0.73714286,0.40823412,0.793712,-0.16047661,0.00036701036,0.0011060309,-7.529e-05,0.21373506,-6.484e-05,0.0014441519855713408,-0.034029528267915055,0.0009791379048224062,-0.0013150075101293623,-0.013833144272211939,0.0076036127,0.015257154
AAVEUSDT,2026-05-29 00:00:00+00:00,-0.027010804,0.0020238992,0.3527849,0.0012579584,691.0,0.5285714,0.4077381,0.73361146,-0.18943074,0.00071071833,0.0015062639,3.58e-05,0.75913477,-5.519e-05,0.001848263329598375,-0.06429564411492117,0.0009791379048224062,-0.007058958522975445,-0.004685988649725914,-0.06510851,-0.061981775
ADAUSDT,2026-05-29 00:00:00+00:00,-0.008845829,0.002149735,0.38075295,0.0005799204,951.0,0.8057143,0.16617064,0.79270595,0.038783878,0.00071728695,0.0011944224,-2.085e-05,-0.3405834,-4.142e-05,0.0015589787013452975,-0.035728952772073885,0.0009791379048224062,6.534230487886816e-05,-0.020253087612218224,0.011271965,0.014871184
ALGOUSDT,2026-05-29 00:00:00+00:00,0.10787992,0.00837622,3.1571183,0.009268619,0.0,0.011428571,0.35218254,0.5547293,-0.091548115,0.0024938225,0.0024737036,-0.00014714,-0.57478225,5.632e-05,0.0022959895875917092,0.026666666666666616,0.0009791379048224062,-0.11782760545611382,-0.11966133781243116,0.024014924,-0.0049622376
ANIMEUSDT,2026-05-29 00:00:00+00:00,-0.04268891,0.0017544194,0.4063338,0.0010228612,951.0,0.8057143,0.2534722,0.71126425,-0.25737834,0.0005337126,0.0016681028,5e-05,0.5683281,0.0,0.0019586389998138753,-0.10258183494698014,0.0009791379048224062,-0.0029247207567095757,-0.020798583514988422,0.012421593,0.039832383
APTUSDT,2026-05-29 00:00:00+00:00,-0.010079798,0.0030907083,0.26286495,0.0010311239,392.0,0.35142857,0.6651786,0.75380975,-0.15135033,0.0014149663,0.0019455401,-0.00017311,-1.7027057,-0.00019544,0.002487697962797675,-0.02833212697756171,0.0009791379048224062,-0.008793637622147799,-0.014355719555169344,-0.015505262,-0.0051757917
