symbol,open_time,funding_rate,funding_rate_z_7d,funding_rate_1d_change
0GUSDT,2026-05-15 00:00:00+00:00,2.565e-05,-0.28441226,7.681e-05
0GUSDT,2026-05-15 04:00:00+00:00,-5.573e-05,-2.4864461,3.595e-05
0GUSDT,2026-05-15 08:00:00+00:00,4.884e-05,0.46384236,3.938e-05
0GUSDT,2026-05-15 12:00:00+00:00,1.197e-05,-0.5492847,1.162e-05
0GUSDT,2026-05-15 16:00:00+00:00,3.345e-05,0.06692694,1.744e-05
0GUSDT,2026-05-15 20:00:00+00:00,-3.741e-05,-1.8078127,-7.447e-05
0GUSDT,2026-05-16 00:00:00+00:00,-4.98e-05,-1.9863101,-7.545e-05
0GUSDT,2026-05-16 04:00:00+00:00,-0.00025624,-4.809113,-0.00020051
0GUSDT,2026-05-16 08:00:00+00:00,2.981e-05,0.189229,-1.903e-05
0GUSDT,2026-05-16 12:00:00+00:00,-8.699e-05,-1.7360585,-9.896e-05
0GUSDT,2026-05-16 16:00:00+00:00,2.7e-06,-0.20104766,-3.075e-05
0GUSDT,2026-05-16 20:00:00+00:00,-2.99e-06,-0.2771196,3.442e-05
0GUSDT,2026-05-17 00:00:00+00:00,-4.401e-05,-0.9312169,5.79e-06
0GUSDT,2026-05-17 04:00:00+00:00,-0.00018557,-2.8958895,7.067e-05
0GUSDT,2026-05-17 08:00:00+00:00,5e-05,0.6757216,2.019e-05
0GUSDT,2026-05-17 12:00:00+00:00,1.793e-05,0.20282544,0.00010492
0GUSDT,2026-05-17 16:00:00+00:00,1.89e-05,0.23003629,1.62e-05
0GUSDT,2026-05-17 20:00:00+00:00,-0.00014362,-2.0813916,-0.00014063
0GUSDT,2026-05-18 00:00:00+00:00,-0.00013743,-1.8557237,-9.342e-05
0GUSDT,2026-05-18 04:00:00+00:00,-0.00033353,-3.6995442,-0.00014796
0GUSDT,2026-05-18 08:00:00+00:00,-8.115e-05,-0.7397052,-0.00013115
0GUSDT,2026-05-18 12:00:00+00:00,-0.00015463,-1.5039454,-0.00017256
0GUSDT,2026-05-18 16:00:00+00:00,-0.00012093,-1.0684574,-0.00013983
