variant,cost,net_sh,ci_lo,ci_hi,folds,plc_p95,plc_rank,vs_base
K3-noSleeve,mk,0.58,-1.86,2.73,6/9,,,-0.04
K3-noSleeve,3.5,-0.04,-2.48,2.13,6/9,,,-0.66
K3-noSleeve,v0,-0.46,-2.9,1.7,5/9,-1.66,98.5,-1.07
K3-V3.1sleeve,mk,-0.92,-3.07,1.19,4/9,,,-1.54
K3-V3.1sleeve,3.5,-1.14,-3.3,0.98,4/9,,,-1.76
K3-V3.1sleeve,v0,-1.29,-3.45,0.83,4/9,0.79,53.0,-1.91
K5-noSleeve,mk,-0.27,-2.74,2.06,5/9,,,-0.89
K5-noSleeve,3.5,-1.05,-3.55,1.3,4/9,,,-1.67
K5-noSleeve,v0,-1.57,-4.09,0.8,4/9,-2.27,98.5,-2.19
K5-V3.1sleeve,mk,-0.93,-3.16,1.26,2/9,,,-1.55
K5-V3.1sleeve,3.5,-1.21,-3.42,0.99,1/9,,,-1.83
K5-V3.1sleeve,v0,-1.4,-3.59,0.81,1/9,0.36,57.99999999999999,-2.01
