feature,univ_ic,clustered_kept,final_kept
autocorr_pctile_7d,0.0005,True,True
return_1d,0.0303,True,True
atr_pct,0.0016,True,True
vwap_slope_96,0.0082,True,True
funding_rate,0.0231,True,True
funding_rate_z_7d,0.0255,True,True
funding_rate_1d_change,0.0029,True,True
bars_since_high,0.0309,True,True
beta_btc_pit,0.0004,True,True
dom_btc_change_288b,0.0288,True,True
dom_btc_z_1d,0.0304,True,True
beta_to_btc_change_5d,0.0147,True,True
corr_to_btc_1d,0.0301,True,True
corr_to_btc_change_3d,0.0284,True,True
idio_vol_to_btc_1h,0.0038,True,True
idio_vol_to_btc_1d,0.0153,True,True
obv_z_1d,0.0015,True,True
return_8h,0.0067,False,False
vol_zscore_4h_over_7d,0.0252,True,True
bars_since_high_xs_rank,0.0214,True,True
sigma_idio,0.0154,True,True
ret_asset_L,0.0303,False,False
ret_btc_L,0.0167,True,True
s_t,0.0344,False,False
of_tfi_z1d,0.0054,True,True
of_imb_4h,0.0078,True,True
of_imb_1d,0.0192,True,True
of_vol_z7d,0.0061,True,True
of_kyle_1d,0.0188,True,True
of_tsz_z1d,0.0105,True,True
x_r1d_r8h,0.0249,True,True
x_r1d_sq,0.0303,False,False
x_st_r1d,0.0115,True,True
x_st_autoc,0.0377,True,True
x_r1d_vws,0.024,False,False
x_r1d_volz,0.0024,True,True
x_st_volz,0.0072,True,True
x_r1d_obv,0.0107,True,True
x_st_idiov,0.033,False,False
x_basis_r1d,0.0019,True,True
x_spvr_r1d,0.0029,True,True
x_spti_st,0.0016,True,True
x_basis_fz,0.011,True,True
x_ofi_r1d,0.0174,True,True
x_ofi_st,0.0259,True,True
x_oftfi_volz,0.0006,True,True
x_ofkyle_st,0.0345,False,False
x_ofi_oichg,0.003,True,True
x_ofi_spti,0.0032,True,True
x_oic_r1d,0.007,True,True
x_fz_r1d,0.0042,True,True
x_oiz_st,0.0102,True,True
x_lst_r1d,0.0021,True,True
x_st_corrb,0.0343,False,False
x_st_betac,0.0012,True,True
x_r1d_domz,0.0177,True,True
