sym,t,fold,side,ret,pnl,win,absmove,fz,vq
BIOUSDT,2025-07-19 00:00:00+00:00,1,L,0.012721157632768154,0.004240385877589385,1,0.012721157632768154,-1.9931029291902762,Q4_high
TAOUSDT,2025-07-19 00:00:00+00:00,1,L,0.003195197554305196,0.0010650658514350653,1,0.003195197554305196,0.2126597504591062,Q3
TONUSDT,2025-07-19 00:00:00+00:00,1,L,0.0031895930878818035,0.001063197695960601,1,0.0031895930878818035,-0.21226365875360295,Q1_low
ARBUSDT,2025-07-19 00:00:00+00:00,1,S,0.04391966387629509,-0.01463988795876503,0,0.04391966387629509,0.22355133283536052,Q3
PENDLEUSDT,2025-07-19 00:00:00+00:00,1,S,0.01495426893234253,-0.004984756310780843,0,0.01495426893234253,-0.22355133283587567,Q3
PENGUUSDT,2025-07-19 00:00:00+00:00,1,S,-0.02320047654211521,0.0077334921807050705,1,0.02320047654211521,0.27616468323866933,Q4_high
ARBUSDT,2025-07-19 12:00:00+00:00,1,L,-0.005073902662843466,-0.002536951331421733,0,0.005073902662843466,0.22355133283536052,Q3
BIOUSDT,2025-07-19 12:00:00+00:00,1,L,-0.01164526678621769,-0.005822633393108845,0,0.01164526678621769,0.5020487958799826,Q4_high
PENDLEUSDT,2025-07-19 12:00:00+00:00,1,S,-0.00416179234161973,0.002080896170809865,1,0.00416179234161973,-0.22355133283587567,Q3
PENGUUSDT,2025-07-19 12:00:00+00:00,1,S,-0.043772220611572266,0.021886110305786133,1,0.043772220611572266,0.27616468323866933,Q4_high
ARBUSDT,2025-07-19 16:00:00+00:00,1,L,0.02483370341360569,0.012416851706802845,1,0.02483370341360569,0.22355133283536052,Q3
WIFUSDT,2025-07-19 16:00:00+00:00,1,L,0.01364962849766016,0.00682481424883008,1,0.01364962849766016,,Q4_high
PENDLEUSDT,2025-07-19 16:00:00+00:00,1,S,0.010075225494801998,-0.005037612747400999,0,0.010075225494801998,-0.22355133283587567,Q3
PENGUUSDT,2025-07-19 16:00:00+00:00,1,S,0.005510373506695032,-0.002755186753347516,0,0.005510373506695032,0.27616468323866933,Q4_high
WIFUSDT,2025-07-19 20:00:00+00:00,1,L,-0.003064635908231139,-0.003064635908231139,0,0.003064635908231139,,Q4_high
PENGUUSDT,2025-07-19 20:00:00+00:00,1,S,0.01379947829991579,-0.006899739149957895,0,0.01379947829991579,0.27616468323866933,Q4_high
TAOUSDT,2025-07-19 20:00:00+00:00,1,S,0.001960641937330365,-0.0009803209686651826,0,0.001960641937330365,0.2126597504591062,Q3
WIFUSDT,2025-07-20 00:00:00+00:00,1,L,0.016581276431679726,0.016581276431679726,1,0.016581276431679726,,Q4_high
PENGUUSDT,2025-07-20 00:00:00+00:00,1,S,0.0048194341361522675,-0.0024097170680761337,0,0.0048194341361522675,-3.9742373436379705,Q4_high
TAOUSDT,2025-07-20 00:00:00+00:00,1,S,0.003623713506385684,-0.001811856753192842,0,0.003623713506385684,0.2126597504591062,Q3
ARBUSDT,2025-07-20 04:00:00+00:00,1,L,0.017551369965076447,0.008775684982538223,1,0.017551369965076447,0.2235513328353652,Q3
WIFUSDT,2025-07-20 04:00:00+00:00,1,L,0.004398423712700605,0.0021992118563503027,1,0.004398423712700605,,Q4_high
TAOUSDT,2025-07-20 04:00:00+00:00,1,S,0.020941652357578278,-0.020941652357578278,0,0.020941652357578278,0.2126597504591062,Q3
ARBUSDT,2025-07-20 08:00:00+00:00,1,L,0.018931426107883453,0.009465713053941727,1,0.018931426107883453,0.2235513328353652,Q3
WIFUSDT,2025-07-20 08:00:00+00:00,1,L,0.013046255335211754,0.006523127667605877,1,0.013046255335211754,,Q4_high
SUIUSDT,2025-07-20 08:00:00+00:00,1,S,-0.002946286927908659,0.0014731434639543295,1,0.002946286927908659,0.34383440791397973,Q2
TAOUSDT,2025-07-20 08:00:00+00:00,1,S,0.012920262292027473,-0.006460131146013737,0,0.012920262292027473,0.2126597504591062,Q3
ARBUSDT,2025-07-20 12:00:00+00:00,1,L,0.025392238050699234,0.012696119025349617,1,0.025392238050699234,0.1561350235115357,Q3
WIFUSDT,2025-07-20 12:00:00+00:00,1,L,0.16012248396873474,0.08006124198436737,1,0.16012248396873474,,Q4_high
AVAXUSDT,2025-07-20 12:00:00+00:00,1,S,0.018405890092253685,-0.009202945046126842,0,0.018405890092253685,0.5074010865937774,Q2
TAOUSDT,2025-07-20 12:00:00+00:00,1,S,0.010241609066724777,-0.005120804533362389,0,0.010241609066724777,0.2126597504591062,Q3
ARBUSDT,2025-07-20 16:00:00+00:00,1,L,-0.015502315014600754,-0.0051674383382002516,0,0.015502315014600754,0.0,Q3
TIAUSDT,2025-07-20 16:00:00+00:00,1,L,-0.031680069863796234,-0.010560023287932077,0,0.031680069863796234,0.3012238081565417,Q4_high
WIFUSDT,2025-07-20 16:00:00+00:00,1,L,-0.0399782657623291,-0.013326088587443033,0,0.0399782657623291,44.87761687112792,Q4_high
AVAXUSDT,2025-07-20 16:00:00+00:00,1,S,-0.014104981906712055,0.014104981906712055,1,0.014104981906712055,0.4709988599496208,Q2
WIFUSDT,2025-07-21 00:00:00+00:00,1,L,0.019856637343764305,0.019856637343764305,1,0.019856637343764305,-0.15779314106055845,Q4_high
TIAUSDT,2025-07-21 00:00:00+00:00,1,S,0.008883953094482422,-0.008883953094482422,0,0.008883953094482422,0.28178259036926767,Q4_high
