composite,fire_pct,n,res4h_bps,ci_lo,ci_hi,hit,net_sh,folds_pos,placebo_pct,raw24h_bps,hit24
O1,6.7,1994,-0.92,-9.7,9.2,54.1,-0.25,4/9,54.3,44.81,55.9
O2,8.0,2378,-0.04,-8.2,8.5,51.7,-0.01,5/9,38.3,6.53,49.7
O3,3.2,954,-7.59,-30.5,13.9,51.3,-1.73,3/9,3.7,-20.8,47.3
O4,23.6,7002,-0.06,-5.1,4.9,53.2,-0.02,4/9,79.0,34.44,55.2
O5,30.9,9145,1.23,-2.8,5.1,51.8,0.03,6/9,72.3,23.19,51.5
P1,25.1,7430,3.2,-1.8,8.3,51.9,0.29,5/9,97.7,-10.87,49.6
P2,67.1,19865,-0.59,-4.2,2.9,51.6,-0.35,5/9,26.0,6.53,51.8
V1,13.7,4050,-9.32,-19.8,0.5,52.0,-2.22,3/9,0.0,-2.85,52.3
V2,39.0,11547,3.43,-0.2,7.0,51.5,0.91,5/9,99.7,1.32,51.3
V3,22.8,6741,5.96,0.9,10.7,53.2,1.75,7/9,100.0,11.12,52.1
V4,21.9,6480,3.04,-2.8,9.1,52.3,0.61,6/9,98.7,33.69,53.1
R1,11.4,3376,0.99,-6.8,8.5,51.7,-0.28,6/9,64.7,-24.65,49.3
R2,13.7,4050,9.32,-0.5,19.8,48.0,1.94,6/9,100.0,2.85,47.5
