label,cost,lin_sh,ci_lo,ci_hi,folds_pos,n_folds,share,lift,blift_lo,blift_hi,v31m,passA,passB
ridge/T0-control-sign,MAKER,-0.10340460141883594,-1.9019362218085,2.201883825605826,3,7,0.34717263589297015,-0.739648103690711,-1.7348883272606106,0.34463491080451103,2.7467011481620704,False,False
ridge/T0-control-sign,COST2.25,-0.5177297110799132,-2.336183640025378,1.6942074791510173,3,7,0.3587039300873216,-0.9179367537604459,-1.9506487723854486,0.13804915519375363,2.7467011481620704,False,False
ridge/T1-short-only,MAKER,-0.2116973000186022,-2.7189213401698407,2.1956125400211324,5,7,0.41171344672536175,-0.3724047153816934,-1.4188596452196527,0.6575714766854975,2.7467011481620704,False,False
ridge/T1-short-only,COST2.25,-0.5320108640042308,-3.0458596596948992,1.8922756807514622,5,7,0.44340501974404034,-0.5063952250479447,-1.5625706511314545,0.5059493502989436,2.7467011481620704,False,False
ridge/T2-mag-conviction,MAKER,0.26004643333564165,-1.7328355171950338,2.721787580789919,3,7,0.33584377417304195,-0.6888491525575371,-1.7212363924476093,0.4060305836952994,2.7467011481620704,False,False
ridge/T2-mag-conviction,COST2.25,-0.33831252288269387,-2.320364084638275,2.050005438649746,3,7,0.29667426738341096,-0.936929057883267,-2.0088184210051367,0.11008731091765597,2.7467011481620704,False,False
lgbm/T0-control-sign,MAKER,1.3163918678597786,-0.8931463434528553,3.6829275108457837,3,7,0.547595136268943,-0.36464191976252947,-1.1110877977001132,0.42713251853017886,2.7467011481620704,False,False
lgbm/T0-control-sign,COST2.25,1.1976363470105167,-1.0314583310534615,3.5615479546519357,3,7,0.5407309032188228,-0.4126209592225538,-1.1845231718161042,0.36894954401094915,2.7467011481620704,False,False
lgbm/T1-short-only,MAKER,-0.54894486890169,-3.010979081980415,1.799546252933345,5,7,0.4471003496262724,-0.48377375773750586,-1.553477422760456,0.5573062389174256,2.7467011481620704,False,False
lgbm/T1-short-only,COST2.25,-0.884823744164998,-3.346908753241413,1.4599089259154385,4,7,0.48436388905550587,-0.6077569856654286,-1.6802933891993934,0.41751396197879714,2.7467011481620704,False,False
lgbm/T2-mag-conviction,MAKER,1.2660561995800208,-0.9905720835244746,3.5970736496596833,3,7,0.5840141976662807,-0.41486344390743124,-1.2107654620926094,0.3905449159292121,2.7467011481620704,False,False
lgbm/T2-mag-conviction,COST2.25,0.8687633052454515,-1.3841250680018904,3.1993047601281512,3,7,0.5521529159355296,-0.5570632911941229,-1.3705061072045432,0.2469879145710625,2.7467011481620704,False,False
