feature,coef,fold,seed,intercept,alpha
return_1d,0.09548322,0,42,1.5901861190795898,0.1
atr_pct,0.014764571,0,42,1.5901861190795898,0.1
dom_level_vs_bk,-0.96136373,0,42,1.5901861190795898,0.1
dom_change_288b_vs_bk,-0.076523215,0,42,1.5901861190795898,0.1
bk_ema_slope_4h,-0.01993666,0,42,1.5901861190795898,0.1
corr_change_3d_vs_bk,0.01585486,0,42,1.5901861190795898,0.1
obv_z_1d,-0.0044472143,0,42,1.5901861190795898,0.1
vwap_slope_96,0.039898045,0,42,1.5901861190795898,0.1
bars_since_high_xs_rank,0.010940574,0,42,1.5901861190795898,0.1
idio_vol_1d_vs_bk_xs_rank,-0.04804984,0,42,1.5901861190795898,0.1
funding_rate,-0.007439012,0,42,1.5901861190795898,0.1
funding_rate_z_7d,0.059523396,0,42,1.5901861190795898,0.1
corr_to_btc_1d,-0.006556317,0,42,1.5901861190795898,0.1
idio_vol_to_btc_1h,0.0073697274,0,42,1.5901861190795898,0.1
beta_to_btc_change_5d,0.054254342,0,42,1.5901861190795898,0.1
funding_rate_1d_change,-0.025150672,0,42,1.5901861190795898,0.1
sym_ADAUSDT,-2.3176064,0,42,1.5901861190795898,0.1
sym_APTUSDT,-1.5228142,0,42,1.5901861190795898,0.1
sym_ARBUSDT,-2.5775898,0,42,1.5901861190795898,0.1
sym_ASTERUSDT,0.0,0,42,1.5901861190795898,0.1
sym_ATOMUSDT,-1.6311517,0,42,1.5901861190795898,0.1
sym_AVAXUSDT,-1.0049138,0,42,1.5901861190795898,0.1
sym_AXSUSDT,-1.8225621,0,42,1.5901861190795898,0.1
sym_BCHUSDT,0.15330657,0,42,1.5901861190795898,0.1
sym_BIOUSDT,-3.1584742,0,42,1.5901861190795898,0.1
sym_BNBUSDT,0.31532186,0,42,1.5901861190795898,0.1
sym_DOGEUSDT,-2.7262409,0,42,1.5901861190795898,0.1
sym_DOTUSDT,-1.6185696,0,42,1.5901861190795898,0.1
sym_ENAUSDT,-2.4597445,0,42,1.5901861190795898,0.1
sym_ETCUSDT,-1.0975083,0,42,1.5901861190795898,0.1
sym_ETHUSDT,0.7992274,0,42,1.5901861190795898,0.1
sym_FILUSDT,-1.7900726,0,42,1.5901861190795898,0.1
sym_GMXUSDT,-1.0280569,0,42,1.5901861190795898,0.1
sym_HBARUSDT,-2.883221,0,42,1.5901861190795898,0.1
sym_HYPEUSDT,0.0,0,42,1.5901861190795898,0.1
sym_ICPUSDT,-1.620772,0,42,1.5901861190795898,0.1
sym_INJUSDT,-1.2659962,0,42,1.5901861190795898,0.1
sym_JTOUSDT,-1.941234,0,42,1.5901861190795898,0.1
sym_JUPUSDT,-2.3537076,0,42,1.5901861190795898,0.1
sym_LDOUSDT,-2.1902792,0,42,1.5901861190795898,0.1
sym_LINKUSDT,-1.1904503,0,42,1.5901861190795898,0.1
sym_LTCUSDT,-0.44508082,0,42,1.5901861190795898,0.1
sym_NEARUSDT,-1.8545678,0,42,1.5901861190795898,0.1
sym_ONDOUSDT,-2.2198389,0,42,1.5901861190795898,0.1
sym_OPUSDT,-2.3288567,0,42,1.5901861190795898,0.1
sym_ORDIUSDT,-1.2571263,0,42,1.5901861190795898,0.1
sym_PENDLEUSDT,-1.6127726,0,42,1.5901861190795898,0.1
sym_PENGUUSDT,-3.777534,0,42,1.5901861190795898,0.1
sym_PUMPUSDT,-3.1901007,0,42,1.5901861190795898,0.1
sym_RUNEUSDT,-1.809658,0,42,1.5901861190795898,0.1
sym_SEIUSDT,-2.7537348,0,42,1.5901861190795898,0.1
sym_SOLUSDT,-0.20419805,0,42,1.5901861190795898,0.1
sym_STRKUSDT,-2.8881705,0,42,1.5901861190795898,0.1
sym_SUIUSDT,-1.6140869,0,42,1.5901861190795898,0.1
sym_TAOUSDT,0.19953562,0,42,1.5901861190795898,0.1
sym_TIAUSDT,-1.7129534,0,42,1.5901861190795898,0.1
sym_TONUSDT,-1.8028946,0,42,1.5901861190795898,0.1
sym_TRBUSDT,-0.7700022,0,42,1.5901861190795898,0.1
sym_UNIUSDT,-1.5371004,0,42,1.5901861190795898,0.1
sym_VIRTUALUSDT,-1.9224634,0,42,1.5901861190795898,0.1
sym_VVVUSDT,-1.5801474,0,42,1.5901861190795898,0.1
sym_WIFUSDT,-2.119998,0,42,1.5901861190795898,0.1
sym_WLDUSDT,-2.0431695,0,42,1.5901861190795898,0.1
sym_XRPUSDT,-1.9262108,0,42,1.5901861190795898,0.1
sym_ZECUSDT,-0.66606134,0,42,1.5901861190795898,0.1
return_1d,0.09846108,0,1337,1.5763962268829346,0.1
atr_pct,0.025133813,0,1337,1.5763962268829346,0.1
dom_level_vs_bk,-0.94999695,0,1337,1.5763962268829346,0.1
dom_change_288b_vs_bk,-0.07497155,0,1337,1.5763962268829346,0.1
bk_ema_slope_4h,-0.022398245,0,1337,1.5763962268829346,0.1
corr_change_3d_vs_bk,0.017668381,0,1337,1.5763962268829346,0.1
obv_z_1d,-0.006558516,0,1337,1.5763962268829346,0.1
vwap_slope_96,0.045611,0,1337,1.5763962268829346,0.1
bars_since_high_xs_rank,0.009507468,0,1337,1.5763962268829346,0.1
idio_vol_1d_vs_bk_xs_rank,-0.05156641,0,1337,1.5763962268829346,0.1
funding_rate,-0.01015705,0,1337,1.5763962268829346,0.1
funding_rate_z_7d,0.060504165,0,1337,1.5763962268829346,0.1
corr_to_btc_1d,-0.010476743,0,1337,1.5763962268829346,0.1
idio_vol_to_btc_1h,-0.0033441437,0,1337,1.5763962268829346,0.1
beta_to_btc_change_5d,0.055943117,0,1337,1.5763962268829346,0.1
funding_rate_1d_change,-0.028655365,0,1337,1.5763962268829346,0.1
sym_ADAUSDT,-2.2788613,0,1337,1.5763962268829346,0.1
sym_APTUSDT,-1.5223501,0,1337,1.5763962268829346,0.1
sym_ARBUSDT,-2.5429366,0,1337,1.5763962268829346,0.1
sym_ASTERUSDT,0.0,0,1337,1.5763962268829346,0.1
sym_ATOMUSDT,-1.6140436,0,1337,1.5763962268829346,0.1
sym_AVAXUSDT,-0.9969134,0,1337,1.5763962268829346,0.1
sym_AXSUSDT,-1.8060075,0,1337,1.5763962268829346,0.1
sym_BCHUSDT,0.15157227,0,1337,1.5763962268829346,0.1
sym_BIOUSDT,-3.1086307,0,1337,1.5763962268829346,0.1
sym_BNBUSDT,0.3390177,0,1337,1.5763962268829346,0.1
sym_DOGEUSDT,-2.6958754,0,1337,1.5763962268829346,0.1
sym_DOTUSDT,-1.6034659,0,1337,1.5763962268829346,0.1
sym_ENAUSDT,-2.4587343,0,1337,1.5763962268829346,0.1
sym_ETCUSDT,-1.0949664,0,1337,1.5763962268829346,0.1
sym_ETHUSDT,0.79583234,0,1337,1.5763962268829346,0.1
sym_FILUSDT,-1.7626184,0,1337,1.5763962268829346,0.1
sym_GMXUSDT,-1.0425583,0,1337,1.5763962268829346,0.1
sym_HBARUSDT,-2.8577366,0,1337,1.5763962268829346,0.1
sym_HYPEUSDT,0.0,0,1337,1.5763962268829346,0.1
sym_ICPUSDT,-1.583694,0,1337,1.5763962268829346,0.1
sym_INJUSDT,-1.2530859,0,1337,1.5763962268829346,0.1
sym_JTOUSDT,-1.9124585,0,1337,1.5763962268829346,0.1
sym_JUPUSDT,-2.3106027,0,1337,1.5763962268829346,0.1
sym_LDOUSDT,-2.1703606,0,1337,1.5763962268829346,0.1
sym_LINKUSDT,-1.2217183,0,1337,1.5763962268829346,0.1
sym_LTCUSDT,-0.4362791,0,1337,1.5763962268829346,0.1
sym_NEARUSDT,-1.8421159,0,1337,1.5763962268829346,0.1
sym_ONDOUSDT,-2.218151,0,1337,1.5763962268829346,0.1
sym_OPUSDT,-2.297368,0,1337,1.5763962268829346,0.1
sym_ORDIUSDT,-1.2264472,0,1337,1.5763962268829346,0.1
sym_PENDLEUSDT,-1.5998074,0,1337,1.5763962268829346,0.1
sym_PENGUUSDT,-3.7380812,0,1337,1.5763962268829346,0.1
sym_PUMPUSDT,-3.1440167,0,1337,1.5763962268829346,0.1
sym_RUNEUSDT,-1.8104815,0,1337,1.5763962268829346,0.1
sym_SEIUSDT,-2.728447,0,1337,1.5763962268829346,0.1
sym_SOLUSDT,-0.18702237,0,1337,1.5763962268829346,0.1
sym_STRKUSDT,-2.862008,0,1337,1.5763962268829346,0.1
sym_SUIUSDT,-1.6076397,0,1337,1.5763962268829346,0.1
sym_TAOUSDT,0.20778447,0,1337,1.5763962268829346,0.1
sym_TIAUSDT,-1.7235391,0,1337,1.5763962268829346,0.1
sym_TONUSDT,-1.7970878,0,1337,1.5763962268829346,0.1
sym_TRBUSDT,-0.7752528,0,1337,1.5763962268829346,0.1
sym_UNIUSDT,-1.5310166,0,1337,1.5763962268829346,0.1
sym_VIRTUALUSDT,-1.9119925,0,1337,1.5763962268829346,0.1
