fold,seed,alpha,n_train_bootstrap,n_test
0,42,0.1,314673,415320
0,1337,0.1,314673,415320
0,7,0.1,314673,415320
0,19,0.1,314673,415320
0,2718,0.1,314673,415320
1,42,0.1,533489,423360
1,1337,0.1,533489,423360
1,7,0.1,533489,423360
1,19,0.1,533489,423360
1,2718,0.1,533489,423360
2,42,0.1,756165,423360
2,1337,0.1,756165,423360
2,7,0.1,756165,423360
2,19,0.1,756165,423360
2,2718,0.1,756165,423360
3,42,0.1,978066,424224
3,1337,0.1,978066,424224
3,7,0.1,978066,424224
3,19,0.1,978066,424224
3,2718,0.1,978066,424224
4,42,0.1,1211487,432000
4,1337,0.1,1211487,432000
4,7,0.1,1211487,432000
4,19,0.1,1211487,432000
4,2718,0.1,1211487,432000
5,42,0.1,1433246,432000
5,1337,0.1,1433246,432000
5,7,0.1,1433246,432000
5,19,0.1,1433246,432000
5,2718,0.1,1433246,432000
6,42,0.1,1663322,432000
6,1337,0.1,1663322,432000
6,7,0.1,1663322,432000
6,19,0.1,1663322,432000
6,2718,0.1,1663322,432000
7,42,0.1,1899485,432000
7,1337,0.1,1899485,432000
7,7,0.1,1899485,432000
7,19,0.1,1899485,432000
7,2718,0.1,1899485,432000
8,42,0.1,2130872,432000
8,1337,0.1,2130872,432000
8,7,0.1,2130872,432000
8,19,0.1,2130872,432000
8,2718,0.1,2130872,432000
9,42,0.1,2361622,425136
9,1337,0.1,2361622,425136
9,7,0.1,2361622,425136
9,19,0.1,2361622,425136
9,2718,0.1,2361622,425136
