feature,n_valid,n_dropped_nan,mean,std,skew,kurt,p1,p50,p99,pearson_r,spearman_r,d0_target_bps,d9_target_bps,mid_target_bps,shape
beta_to_btc_change_5d,314673,0,0.045233952885557455,0.5848614958709134,-0.3241227976773225,1.0296485011023115,-1.573703900409765,0.0686037894750875,1.3842223974720211,0.04394304583791837,0.05896077595953856,9.146066078355673,33.97535702524541,-9.896806366334365,u_shape
funding_rate_z_7d,313949,724,-0.07678590804036904,1.2645221067206869,-2.463041017780373,25.515795251996558,-4.192508498480712,0.36007840016229714,1.5834222368079647,0.05107039628336259,0.04945277508300984,-16.3459880820425,19.742087490139774,-5.315346042970337,monotonic_up
idio_vol_1d_vs_bk_xs_rank,314673,0,0.5179744958877563,0.2815849483013153,-0.005856940057128668,-1.190164566040039,0.02083333395421505,0.5102040767669678,1.0,3.378352432721458e-05,-0.03927561299247839,0.32853236807257524,-13.503790313628906,-3.5628528046234997,noisy
vwap_slope_96,314673,0,0.0001223541476065293,0.002291239332407713,9.684027671813965,579.6744995117188,-0.005085867755115032,-5.3422995733853895e-06,0.006633394788950663,0.020693017701034804,0.03649885164603168,-10.430851487818734,24.685239100239656,-4.3295773889933935,monotonic_up
dom_change_288b_vs_bk,314673,0,-0.0006531902472488582,0.035227660089731216,1.7484374046325684,11.09708023071289,-0.08198663741350173,-0.003087697783485055,0.127263174057006,-0.009458307538225163,-0.03454792275509146,0.749655952764292,-0.6051888359145661,-4.431822978609978,u_shape
corr_to_btc_1d,314673,0,0.6691042064522853,0.1310535524108097,-1.276922199532495,1.856689113977012,0.2385963070375799,0.6969318168132111,0.8566343787932644,0.0007381128718428509,0.027651271745399497,-1.0305448601932912,3.106930021077428,-5.150310811232161,u_shape
corr_change_3d_vs_bk,314673,0,2.309380988663179e-07,0.11279896646738052,-0.3120376467704773,2.6126465797424316,-0.33781132578849793,0.0035423634108155966,0.3032798850536331,0.012986090090469223,0.02761834709875907,-1.7277789069201994,7.555339545956425,-5.85989166539877,u_shape
bars_since_high_xs_rank,314673,0,0.5084749460220337,0.2845628559589386,0.009051970206201077,-1.1818873882293701,0.020408162847161293,0.5102040767669678,1.0,0.010462534900527919,0.026087710856917343,-3.5568279570168215,-4.377424678962077,-2.5244483371463806,noisy
bk_ema_slope_4h,314673,0,0.0003619339258875698,0.0036130822263658047,-0.19123364984989166,1.8251047134399414,-0.009248211048543453,0.0003379848785698414,0.009446237236261368,0.02386848789441772,0.024274566008998952,-6.411047044376498,1.2392560332270792,-0.5459060842759853,noisy
obv_z_1d,314673,0,-0.1913658082485199,1.5126770734786987,0.25135546922683716,0.7021851539611816,-3.397041063308716,-0.38602837920188904,3.4780838012695283,0.0322265944331231,0.023588097836390834,-9.952160642431581,7.582910636190325,-2.641053942080327,monotonic_up
funding_rate,314673,0,-1.6344273070775052e-05,0.00036186631567333737,-22.616825275158412,689.2186744478882,-0.00067377,5e-05,0.0001,0.02103418722686259,0.02303483908109627,-13.745361351277941,0.8902840887871185,-0.8482802937899668,insufficient
dom_level_vs_bk,314673,0,1.2520750761032104,2.5141074657440186,0.36049047112464905,0.13268017768859863,-4.54040714263916,1.0065561532974243,7.5431364822387685,0.00010848474832162889,0.022323974682759304,-3.298939032180297,4.012176836470047,-4.629400903883877,u_shape
return_1d,314673,0,0.007011134177446365,0.056242138147354126,1.587148666381836,6.859699249267578,-0.102077696621418,0.0006618133629672229,0.2036824440956109,0.04525698470845149,0.016207248403514764,-8.662088133204465,25.42158042517274,-7.0010800301012335,u_shape
funding_rate_1d_change,314673,0,-2.6636596085460144e-06,0.00038422895159037027,-1.975298044936577,429.4397838919214,-0.0004969999999999999,0.0,0.00049911,0.003305289139779075,0.008581427382208425,-16.16899034577851,0.438642273344528,-2.678220197136972,insufficient
idio_vol_to_btc_1h,314673,0,0.002147916550832881,0.0015097598453783791,4.215976277352738,42.31258107099053,0.0005272699223461111,0.001777858380353292,0.007970282542395452,0.005762190645800596,-0.0054154000127385055,-8.516530592500887,5.333769970789257,-1.8699020753376439,monotonic_up
atr_pct,314673,0,0.0044760191813111305,0.0023902063257992268,2.4242570400238037,11.683320999145508,0.0012442720122635366,0.003909528721123934,0.013231402039527862,0.008128787778382576,-0.0033575267067092896,-10.293842137198373,0.17445968962493322,-1.6585251399708563,monotonic_up
