feature,source,category,nan_pct,pearson,spearman,abs_spearman,shape
hour_cos,base,categorical/calendar,0.0,0.09775169529327714,0.11658640367597439,0.11658640367597439,monotonic_up
btc_ret_fwd,btc_only,btc-relationship,0.0,0.06378350060246306,0.06812009546374459,0.06812009546374459,monotonic_up
resid_vol_90d,v3_5m,volatility/distrib,59.12772942070021,-0.025966666302576772,-0.06785328248076579,0.06785328248076579,noisy
xs_alpha_iqr_12b,base,cross-sectional,0.0,0.05580608125081294,0.05104319358188688,0.05104319358188688,monotonic_up
xs_alpha_mean_48b,base,cross-sectional,0.0,0.04611045803478204,0.050090237788563856,0.050090237788563856,monotonic_up
btc_realized_vol_30d,base,volatility/distrib,25.0628430148122,0.0006662678651765752,0.04671683546044758,0.04671683546044758,inverted_u
resid_trend_score_30d,v3_5m,other,8.975666803316463,-0.0092048109107814,-0.04559684212964475,0.04559684212964475,u_shape
ema_slope_20_1h,base,momentum,0.0,0.05893665817451156,0.04040726319562384,0.04040726319562384,monotonic_up
btc_realized_vol_1d,base,volatility/distrib,0.0,0.027586758889763613,0.03997923436000571,0.03997923436000571,u_shape
multi_horizon_trend_score,v3_5m,other,8.975666803316463,-0.004576968453572738,-0.039012695616452785,0.039012695616452785,noisy
resid_jump_count_30d,v3_5m,volatility/distrib,0.0,0.05192907651688261,0.03822141184109603,0.03822141184109603,monotonic_up
resid_vol_30d,v3_5m,volatility/distrib,25.630734127173284,0.008739649351772428,-0.037221517554778684,0.037221517554778684,u_shape
xs_alpha_dispersion_12b,base,cross-sectional,0.0,0.020770399945333768,0.03543700120140362,0.03543700120140362,monotonic_up
return_1d_xs_rank,base,momentum,0.0,-0.009471777202616466,-0.03195854890473075,0.03195854890473075,noisy
atr_pct_xs_rank,base,volatility/distrib,0.0,0.01037507713354628,-0.02958747281907646,0.02958747281907646,monotonic_up
aggr_ratio_4h,base,microstructure,49.70016493312105,-0.02678963105186275,-0.027015248293210472,0.027015248293210472,monotonic_down
dist_from_365d_high,v3_5m,anchoring,25.623742742465993,0.02947913942494734,0.02633265628447931,0.02633265628447931,u_shape
beta_btc_30d,v3_5m,btc-relationship,0.0,0.005184105972455196,-0.02586997727466136,0.02586997727466136,noisy
xs_alpha_dispersion_48b,base,cross-sectional,0.0,0.014388106592671972,0.02559321003230169,0.02559321003230169,noisy
volume_ma_50,base,volume/liquidity,0.0,0.014020143884998849,-0.024519338284787563,0.024519338284787563,u_shape
volume_ma_50_xs_rank,base,volume/liquidity,0.0,-0.0017698271776502765,-0.024147778931492482,0.024147778931492482,u_shape
beta_btc_90d,v3_5m,btc-relationship,8.931493963574887,0.00967915215471586,-0.023848298100172083,0.023848298100172083,u_shape
dist_from_30d_high,v3_5m,anchoring,0.0,0.026108157478103522,0.023587155297211733,0.023587155297211733,u_shape
idio_vol_ratio_to_btc,btc_only,volatility/distrib,0.0,0.01339903176268738,-0.023568291601566337,0.023568291601566337,u_shape
idio_ret_to_btc_48b,base,btc-relationship,0.0,0.03097646631230125,0.022538605821324637,0.022538605821324637,monotonic_up
dom_z_7d_vs_bk,base,basket-relative,0.0,0.013166066573003395,-0.022492913114932993,0.022492913114932993,u_shape
vwap_zscore,base,other,0.0,0.03846593990555613,0.02201770477470245,0.02201770477470245,monotonic_up
buy_count_4h,base,volume/liquidity,49.70016493312105,0.024342777091851803,0.019718049610341248,0.019718049610341248,u_shape
bk_ret_48b,base,basket-relative,0.0,0.019388769827704287,0.019262091332125808,0.019262091332125808,monotonic_up
idio_kurt_1d,base,volatility/distrib,0.0,0.022280922959443075,0.01908733352511612,0.01908733352511612,u_shape
beta_btc_pit,btc_only,btc-relationship,0.0,0.012827883912874332,-0.018735208822709997,0.018735208822709997,u_shape
ema_slope_20_1h_xs_rank,base,momentum,0.0,0.005950971750157263,-0.01854357877855521,0.01854357877855521,noisy
obv_z_1d_xs_rank,base,volume/liquidity,0.0,-0.004860181199823723,-0.017371657304302464,0.017371657304302464,inverted_u
avg_trade_size_4h,base,volume/liquidity,49.70016493312105,0.010295326587498438,-0.01671225705681236,0.01671225705681236,noisy
vol_surge_1d_over_30d,vol_surge,volatility/distrib,0.0,0.04647124806593417,0.01657142707479068,0.01657142707479068,monotonic_up
resid_kurt_30d,v3_5m,volatility/distrib,0.0,-0.031181897392360398,0.015558046885492331,0.015558046885492331,inverted_u
price_volume_corr_10,base,volatility/distrib,0.0,0.003131974896545665,-0.015555232643216774,0.015555232643216774,u_shape
amihud_illiq_30d,v3_5m,volume/liquidity,0.0,0.00666466106764241,-0.01549747167453685,0.01549747167453685,u_shape
vol_surge_4h_over_7d,vol_surge,volatility/distrib,0.0,0.019203417811607268,0.015402512855508184,0.015402512855508184,u_shape
corr_to_btc_change_3d,btc_only,btc-relationship,0.0,0.004216927655661957,0.015039511629116419,0.015039511629116419,u_shape
hour_sin,base,categorical/calendar,0.0,-0.008912120977864767,-0.01441519601457085,0.01441519601457085,noisy
funding_streak_neg,base,funding,0.0,-0.019943430426663272,-0.014388469179965996,0.014388469179965996,insufficient
funding_streak_pos,base,funding,0.0,0.024386361595106303,0.013924647199663348,0.013924647199663348,insufficient
volume_stability_30d,v3_5m,volume/liquidity,0.0,-0.006769620964324687,-0.013582164646272685,0.013582164646272685,u_shape
corr_breakdown,v3_5m,other,8.931493963574887,-0.011615310577567015,-0.013385787796612921,0.013385787796612921,insufficient
mfi,base,other,0.0,0.006344629125923139,-0.011537198188866605,0.011537198188866605,monotonic_up
idio_vol_1d_vs_bk,base,volatility/distrib,0.0,0.010675698665313847,-0.011451977009598996,0.011451977009598996,monotonic_up
idio_ret_to_btc_12b,base,btc-relationship,0.0,0.006854084007435557,-0.010825838821865623,0.010825838821865623,u_shape
idio_ret_to_btc_288b,btc_only,btc-relationship,0.0,0.02342982221589999,-0.010349420950479877,0.010349420950479877,u_shape
residual_vol_90d_own_pctile,btc_only,volatility/distrib,0.0,0.03696410208973648,0.010273715519335239,0.010273715519335239,u_shape
sym_id,base,categorical/calendar,0.0,0.013687769971151568,-0.00959251136589491,0.00959251136589491,u_shape
idio_ret_48b_vs_bk,base,basket-relative,0.0,0.003465738211779715,-0.009096544412618032,0.009096544412618032,u_shape
obv_signal,base,volume/liquidity,0.0,-0.0032524413557784757,-0.009009975558483591,0.009009975558483591,noisy
dom_btc_change_48b,btc_only,btc-relationship,0.0,0.020890631701682618,0.008639924004056183,0.008639924004056183,monotonic_up
corr_btc_30d,v3_5m,btc-relationship,0.0,-0.00552619781645463,0.0077188735684439284,0.0077188735684439284,monotonic_down
xs_alpha_mean_12b,base,cross-sectional,0.0,0.011722803347406543,0.007716658845736322,0.007716658845736322,noisy
idio_max_abs_12b,base,volatility/distrib,0.0,0.018546467378911424,-0.0075860337589131995,0.0075860337589131995,monotonic_up
btc_realized_vol_1h,base,volatility/distrib,0.0,-0.006857082470166271,-0.007343283361023792,0.007343283361023792,u_shape
beta_to_btc,base,btc-relationship,0.0,0.024099740897867622,-0.0068719670558864444,0.0068719670558864444,u_shape
price_volume_corr_20,base,volatility/distrib,0.0,0.013785659750071077,-0.006400710490426997,0.006400710490426997,monotonic_up
idio_skew_1d,base,volatility/distrib,0.0,-0.0016060292748138363,-0.005979625413071059,0.005979625413071059,u_shape
idio_vol_to_btc_1d,base,volatility/distrib,0.0,0.021438300788077895,-0.005640885383863254,0.005640885383863254,monotonic_up
listing_age_days,btc_only,other,0.0,0.008404159962125957,-0.004975764083281861,0.004975764083281861,inverted_u
dom_btc_z_1d,btc_only,btc-relationship,0.0,0.031930561067063136,0.004516913939596706,0.004516913939596706,monotonic_up
log_dollar_volume_7d,v3_5m,volatility/distrib,0.0,-0.0020940585536252778,-0.003075529882818712,0.003075529882818712,inverted_u
vwap_zscore_xs_rank,base,cross-sectional,0.0,0.01296407344065517,0.002656434987138663,0.002656434987138663,monotonic_up
tfi_4h,base,microstructure,49.70016493312105,0.009965289111904748,-0.002062473198236661,0.002062473198236661,inverted_u
signed_volume_4h,base,volatility/distrib,49.70016493312105,-0.011866441472455337,-0.0017069459197494752,0.0017069459197494752,noisy
resid_skew_30d,v3_5m,volatility/distrib,0.0,0.02667081958443875,0.0014888157260450645,0.0014888157260450645,monotonic_up
