f1,f2,abs_corr
dom_btc_change_288b,return_1d,0.9114356697629112
return_1d_sq,dom_btc_change_288b_sq,0.9078684804701547
idio_vol_to_btc_1h,atr_pct,0.7660705743487236
vwap_slope_96,return_8h_orth,0.7206315646519547
idio_vol_to_btc_1h,idio_vol_to_btc_1d,0.7068469470034238
idio_vol_to_btc_1d,atr_pct,0.6914754369176987
corr_to_btc_1d,corr_to_btc_1d_sq,0.6911428945215448
obv_z_1d,dom_btc_z_1d,0.6627989017993401
vwap_slope_96,dom_btc_z_1d,0.6576137603811638
dom_btc_z_1d,dom_btc_change_288b,0.6533784019366076
obv_z_1d,vwap_slope_96,0.6179029918533975
funding_rate,funding_rate_z_7d,0.6097495730059284
dom_btc_z_1d,return_1d,0.5901665436036992
funding_rate_1d_change,funding_rate_z_7d,0.5677628842041761
obv_z_1d,return_1d,0.5670211379964323
idio_vol_to_btc_1d,dom_btc_change_288b_sq,0.5238638161531777
idio_vol_to_btc_1d,return_1d_sq,0.5018582215055308
obv_z_1d,dom_btc_change_288b,0.4983769648875325
atr_pct,return_1d_sq,0.4921293330773201
atr_pct,dom_btc_change_288b_sq,0.4857934480310616
vwap_slope_96,return_1d,0.4731360231517419
funding_rate,funding_rate_1d_change,0.42945562963287864
vwap_slope_96,dom_btc_change_288b,0.42389121494988474
corr_to_btc_1d,corr_to_btc_change_3d,0.4213863342051082
dom_btc_z_1d,return_8h_orth,0.40694422189988383
beta_to_btc_change_5d,beta_to_btc_change_5d_sq,0.38901522925688464
corr_to_btc_1d,corr_to_btc_change_3d_sq,0.3792663784192483
idio_vol_to_btc_1h,return_1d_sq,0.37870867299305766
idio_vol_to_btc_1h,dom_btc_change_288b_sq,0.377677699137744
obv_z_1d,return_8h_orth,0.36951949277361923
return_1d_sq,vol_zscore_4h_over_7d,0.332332638777964
bars_since_high_xs_rank,dom_btc_z_1d,0.31327661130975837
bars_since_high_xs_rank,dom_btc_change_288b,0.3081784574500384
dom_btc_change_288b,dom_btc_change_288b_sq,0.30530921295988955
dom_btc_change_288b_sq,vol_zscore_4h_over_7d,0.3000920168300927
return_1d,dom_btc_change_288b_sq,0.29275313074319925
idio_vol_to_btc_1d,beta_to_btc_change_5d_sq,0.2900693257330653
bars_since_high_xs_rank,return_1d,0.2710674399717278
obv_z_1d,bars_since_high_xs_rank,0.2676027683246698
corr_to_btc_1d_sq,corr_to_btc_change_3d_sq,0.24204963363079063
idio_vol_to_btc_1d,vol_zscore_4h_over_7d,0.24121507445855742
idio_vol_to_btc_1d,corr_to_btc_1d,0.23473016872382566
dom_btc_change_288b,return_1d_sq,0.23441312262530054
return_1d,return_1d_sq,0.22329864008009911
corr_to_btc_1d,dom_btc_change_288b_sq,0.22233261823956665
funding_rate_z_7d,return_1d,0.21858140021748962
atr_pct,vol_zscore_4h_over_7d,0.21054056827326695
corr_to_btc_change_3d,corr_to_btc_1d_sq,0.20915421366934064
corr_to_btc_change_3d,corr_to_btc_change_3d_sq,0.2089495128252329
idio_vol_to_btc_1h,beta_to_btc_change_5d_sq,0.2037415447863077
corr_to_btc_1d,return_1d,0.19881160276321588
funding_rate_z_7d,dom_btc_change_288b,0.1929679046380767
idio_vol_to_btc_1h,vol_zscore_4h_over_7d,0.18851056074081196
corr_to_btc_1d,dom_btc_change_288b,0.18674711740761282
funding_rate,return_1d,0.1850392057467803
dom_btc_change_288b,corr_to_btc_change_3d,0.17492263675246497
bars_since_high_xs_rank,vwap_slope_96,0.1741807933872005
corr_to_btc_change_3d,return_1d,0.16635970293913588
funding_rate_1d_change,return_1d,0.16393687917504168
funding_rate,dom_btc_change_288b,0.16357872551793476
dom_btc_change_288b,vol_zscore_4h_over_7d,0.16166746930905831
funding_rate_1d_change,dom_btc_change_288b,0.14422403503668899
obv_z_1d,funding_rate_z_7d,0.1436246010951794
atr_pct,beta_to_btc_change_5d_sq,0.14332880218823812
dom_btc_z_1d,funding_rate_z_7d,0.141621170714
idio_vol_to_btc_1d,corr_to_btc_change_3d_sq,0.1405677870798653
return_1d,vol_zscore_4h_over_7d,0.14030723581429028
dom_btc_change_288b_sq,corr_to_btc_change_3d_sq,0.13446465094574958
dom_btc_change_288b,corr_to_btc_change_3d_sq,0.13037180371397367
corr_to_btc_1d_sq,dom_btc_change_288b_sq,0.1284145569626805
idio_vol_to_btc_1h,corr_to_btc_1d,0.1272867310860928
corr_to_btc_1d,return_1d_sq,0.12538193702573852
return_1d,corr_to_btc_change_3d_sq,0.12342258133419151
bars_since_high_xs_rank,vol_zscore_4h_over_7d,0.12081745461346555
idio_vol_to_btc_1d,dom_btc_change_288b,0.11795098687441542
atr_pct,dom_btc_change_288b,0.11747200625652005
obv_z_1d,dom_btc_change_288b_sq,0.11406560007923572
funding_rate,corr_to_btc_1d_sq,0.11332084436216375
funding_rate,dom_btc_z_1d,0.11327081001615485
obv_z_1d,funding_rate,0.11216674814288222
funding_rate_1d_change,dom_btc_z_1d,0.11135420762335325
dom_btc_z_1d,dom_btc_change_288b_sq,0.11131211566778532
funding_rate,idio_vol_to_btc_1d,0.10775037770318352
corr_to_btc_change_3d,dom_btc_change_288b_sq,0.10619352760291506
obv_z_1d,funding_rate_1d_change,0.10424077343957532
dom_btc_change_288b,corr_to_btc_1d_sq,0.10399944085587813
idio_vol_to_btc_1h,dom_btc_change_288b,0.10090751176416626
idio_vol_to_btc_1h,dom_btc_z_1d,0.09789957961890357
return_1d,corr_to_btc_1d_sq,0.09698713549421353
bars_since_high_xs_rank,dom_btc_change_288b_sq,0.09530699551102294
idio_vol_to_btc_1d,return_1d,0.08913480230387039
dom_btc_z_1d,corr_to_btc_1d,0.08903596505303008
return_1d_sq,corr_to_btc_change_3d_sq,0.08687378733790581
bars_since_high_xs_rank,atr_pct,0.084768712730837
idio_vol_to_btc_1h,bars_since_high_xs_rank,0.08361421185214024
obv_z_1d,corr_to_btc_1d,0.0833238187181216
corr_to_btc_1d,vol_zscore_4h_over_7d,0.08311133136784146
corr_to_btc_1d_sq,vol_zscore_4h_over_7d,0.08026181452808556
beta_to_btc_change_5d_sq,return_1d_sq,0.07938849482244484
bars_since_high_xs_rank,corr_to_btc_change_3d,0.07854870596682549
obv_z_1d,return_1d_sq,0.07765938019071048
idio_vol_to_btc_1h,corr_to_btc_change_3d_sq,0.07725865414002443
beta_to_btc_change_5d,dom_btc_change_288b_sq,0.07585149145200264
corr_to_btc_1d_sq,return_1d_sq,0.07579969275832166
idio_vol_to_btc_1h,return_1d,0.07564128818032582
corr_to_btc_1d,beta_to_btc_change_5d_sq,0.07512930841469023
corr_to_btc_change_3d,return_8h_orth,0.07367196151162103
vwap_slope_96,dom_btc_change_288b_sq,0.07269766382840881
idio_vol_to_btc_1d,corr_to_btc_1d_sq,0.07216578109838788
vwap_slope_96,funding_rate_z_7d,0.07115011678779513
funding_rate,idio_vol_to_btc_1h,0.07087791335406957
funding_rate,atr_pct,0.06980021423534088
bars_since_high_xs_rank,return_1d_sq,0.06977427449660394
dom_btc_z_1d,corr_to_btc_change_3d,0.06858137837472883
atr_pct,return_1d,0.0673637568044274
corr_to_btc_change_3d_sq,vol_zscore_4h_over_7d,0.06697137899894647
dom_btc_z_1d,return_1d_sq,0.06627928093050973
corr_to_btc_1d,beta_to_btc_change_5d,0.06597582377549834
corr_to_btc_change_3d,return_1d_sq,0.06570143194018689
dom_btc_z_1d,vol_zscore_4h_over_7d,0.0637689541043294
dom_btc_z_1d,corr_to_btc_change_3d_sq,0.0630979832623902
beta_to_btc_change_5d_sq,dom_btc_change_288b_sq,0.06300414584359808
atr_pct,corr_to_btc_1d,0.06220468606552606
funding_rate,beta_to_btc_change_5d_sq,0.06215596564364789
funding_rate,bars_since_high_xs_rank,0.06064848693555897
obv_z_1d,vol_zscore_4h_over_7d,0.059822169130838626
obv_z_1d,corr_to_btc_change_3d_sq,0.059570024344503675
funding_rate_1d_change,vwap_slope_96,0.058427446937528216
funding_rate,return_8h_orth,0.05806903195174826
return_8h_orth,vol_zscore_4h_over_7d,0.057752866352386766
atr_pct,dom_btc_z_1d,0.05756408674223027
obv_z_1d,corr_to_btc_1d_sq,0.05703809742828214
bars_since_high_xs_rank,funding_rate_z_7d,0.05682882083357896
obv_z_1d,corr_to_btc_change_3d,0.05369111254279697
corr_to_btc_1d,return_8h_orth,0.053368902727123024
funding_rate,corr_to_btc_1d,0.05284983868760292
funding_rate_z_7d,corr_to_btc_change_3d,0.051930005310053935
beta_to_btc_change_5d,vol_zscore_4h_over_7d,0.0508335676261288
funding_rate_z_7d,return_8h_orth,0.05071786904539164
funding_rate,vwap_slope_96,0.05020617979658032
idio_vol_to_btc_1d,dom_btc_z_1d,0.05017048550688087
funding_rate,beta_to_btc_change_5d,0.0500950318884462
beta_to_btc_change_5d,corr_to_btc_change_3d,0.04942984169270309
funding_rate_z_7d,corr_to_btc_1d,0.04903239680453153
funding_rate,return_1d_sq,0.04778452017311345
beta_to_btc_change_5d,return_1d_sq,0.04708778815535201
idio_vol_to_btc_1h,corr_to_btc_1d_sq,0.046166901296238315
corr_to_btc_change_3d,vol_zscore_4h_over_7d,0.04612673610381837
funding_rate_1d_change,dom_btc_change_288b_sq,0.0458573093357414
funding_rate_1d_change,idio_vol_to_btc_1d,0.04546532649273503
idio_vol_to_btc_1d,beta_to_btc_change_5d,0.045368724249425625
funding_rate_1d_change,return_1d_sq,0.04455614464404784
obv_z_1d,idio_vol_to_btc_1h,0.04434698212185384
dom_btc_z_1d,corr_to_btc_1d_sq,0.04425279071544539
atr_pct,corr_to_btc_change_3d_sq,0.04414074815657677
bars_since_high_xs_rank,corr_to_btc_1d,0.044138929244073775
idio_vol_to_btc_1d,corr_to_btc_change_3d,0.043785154938182885
atr_pct,beta_to_btc_change_5d,0.04358797553934241
vwap_slope_96,corr_to_btc_1d,0.03897579516377584
funding_rate_1d_change,corr_to_btc_1d,0.03868506139415682
idio_vol_to_btc_1h,beta_to_btc_change_5d,0.03867571556145818
funding_rate,dom_btc_change_288b_sq,0.03854248018475262
funding_rate_z_7d,beta_to_btc_change_5d,0.038374607145821
funding_rate,vol_zscore_4h_over_7d,0.03697645388379026
funding_rate_1d_change,return_8h_orth,0.036771297976754345
bars_since_high_xs_rank,return_8h_orth,0.03638994114772298
idio_vol_to_btc_1d,bars_since_high_xs_rank,0.03524169619900989
vwap_slope_96,return_1d_sq,0.03509017776506448
funding_rate_1d_change,atr_pct,0.03398414391227868
funding_rate_z_7d,corr_to_btc_change_3d_sq,0.03349997731848074
atr_pct,corr_to_btc_change_3d,0.032680174445339244
idio_vol_to_btc_1h,vwap_slope_96,0.031192339186973738
corr_to_btc_change_3d_sq,return_8h_orth,0.02979187507902541
funding_rate,corr_to_btc_change_3d,0.02953694727060762
beta_to_btc_change_5d_sq,corr_to_btc_1d_sq,0.02921195366456657
idio_vol_to_btc_1h,return_8h_orth,0.027899258874616632
funding_rate_1d_change,corr_to_btc_1d_sq,0.027609950532014885
beta_to_btc_change_5d_sq,vol_zscore_4h_over_7d,0.026201557608660726
vwap_slope_96,corr_to_btc_change_3d_sq,0.025713014169144455
idio_vol_to_btc_1h,funding_rate_1d_change,0.025541016327342115
beta_to_btc_change_5d,return_1d,0.023875395445423754
funding_rate_1d_change,bars_since_high_xs_rank,0.02185708975639778
beta_to_btc_change_5d_sq,return_8h_orth,0.021798526301840915
vwap_slope_96,corr_to_btc_1d_sq,0.021495133897497947
funding_rate_1d_change,vol_zscore_4h_over_7d,0.021473177480160706
obv_z_1d,idio_vol_to_btc_1d,0.02094682369730446
bars_since_high_xs_rank,corr_to_btc_1d_sq,0.02043796050431687
corr_to_btc_1d_sq,return_8h_orth,0.02017583803964028
atr_pct,vwap_slope_96,0.018818269877415063
funding_rate,corr_to_btc_change_3d_sq,0.01862384620768863
bars_since_high_xs_rank,corr_to_btc_change_3d_sq,0.018583249545609106
atr_pct,funding_rate_z_7d,0.017944189348854465
bars_since_high_xs_rank,beta_to_btc_change_5d,0.017654627433311944
funding_rate_1d_change,corr_to_btc_change_3d,0.015858415396391226
vwap_slope_96,beta_to_btc_change_5d,0.015759438802021804
funding_rate_z_7d,corr_to_btc_1d_sq,0.01549634369019294
return_1d,return_8h_orth,0.014947906657962138
atr_pct,corr_to_btc_1d_sq,0.01461443567815264
idio_vol_to_btc_1d,return_8h_orth,0.014417661938739368
dom_btc_change_288b,return_8h_orth,0.013570932085935872
dom_btc_z_1d,beta_to_btc_change_5d,0.013569459236549954
funding_rate_1d_change,beta_to_btc_change_5d,0.012777392499071324
funding_rate_1d_change,beta_to_btc_change_5d_sq,0.012141549785271464
idio_vol_to_btc_1d,vwap_slope_96,0.011898546263949292
funding_rate_z_7d,return_1d_sq,0.011873116242807668
funding_rate_z_7d,dom_btc_change_288b_sq,0.011566742277253525
beta_to_btc_change_5d_sq,corr_to_btc_change_3d_sq,0.010835971640786689
vwap_slope_96,corr_to_btc_change_3d,0.010699607402992913
beta_to_btc_change_5d,dom_btc_change_288b,0.010516031115299281
obv_z_1d,beta_to_btc_change_5d,0.010488720716481489
dom_btc_z_1d,beta_to_btc_change_5d_sq,0.010198235667576792
idio_vol_to_btc_1d,funding_rate_z_7d,0.009743433354906203
vwap_slope_96,beta_to_btc_change_5d_sq,0.009689867692826174
beta_to_btc_change_5d,corr_to_btc_1d_sq,0.009288671417413222
funding_rate_z_7d,vol_zscore_4h_over_7d,0.008325805294793093
dom_btc_change_288b_sq,return_8h_orth,0.008316142000635303
beta_to_btc_change_5d,corr_to_btc_change_3d_sq,0.007411402746446491
idio_vol_to_btc_1h,corr_to_btc_change_3d,0.005698788787187716
bars_since_high_xs_rank,beta_to_btc_change_5d_sq,0.005417586428928548
atr_pct,return_8h_orth,0.005261230828937864
dom_btc_change_288b,beta_to_btc_change_5d_sq,0.005217977518285775
beta_to_btc_change_5d,return_8h_orth,0.004411176333279316
funding_rate_z_7d,beta_to_btc_change_5d_sq,0.004332844841741107
obv_z_1d,atr_pct,0.0041171686543723055
return_1d,beta_to_btc_change_5d_sq,0.0037118790303961096
idio_vol_to_btc_1h,funding_rate_z_7d,0.003391922841823214
return_1d_sq,return_8h_orth,0.002639720582098258
obv_z_1d,beta_to_btc_change_5d_sq,0.002416798197191259
funding_rate_1d_change,corr_to_btc_change_3d_sq,0.001958432363707141
corr_to_btc_change_3d,beta_to_btc_change_5d_sq,0.0018912612482157097
vwap_slope_96,vol_zscore_4h_over_7d,0.000249652447183227
