feature,mean,std,min,p001,p01,p05,p50,p95,p99,p999,max,nan_pct,zero_pct,absmax,nunique
corr_to_btc_1d_sq,1.0506141,2.159303,0.0,9.256704739186716e-07,0.00015228684147587047,0.0039300173986703164,0.3985465466976166,4.448770856857292,13.56880356788635,15.29775619506836,15.29775619506836,0.0,0.00024024603188788074,15.297756,4347898
dom_btc_change_288b_sq,0.77024823,1.7162299,0.0,2.9706139454788173e-07,4.852340724028182e-05,0.001264247565995902,0.1792948693037033,3.6497290372848505,8.987468891143774,14.385530471801758,14.385530471801758,0.0,0.00024024603188788074,14.38553,4495163
return_1d_sq,0.7795895,1.578986,0.0,5.224038166034006e-07,5.726369272451848e-05,0.001430540252476931,0.2173706293106079,3.5423313498496856,7.766262168884257,13.44553279876709,13.44553279876709,0.0,6.858234474308014e-05,13.445533,3222153
beta_to_btc_change_5d_sq,0.9301781,2.2051222,0.0,0.0,0.0,0.0011868494853843005,0.1599065512418747,5.410606169700617,12.360294342041016,12.360294342041016,12.360294342041016,0.0,0.012627880094784957,12.360294,4358414
corr_to_btc_change_3d_sq,1.2023505,1.7936571,0.0,1.4345034290430572e-09,0.0001106028672802495,0.0033223252743482595,0.4302964508533478,5.697222256660461,8.46965217590332,8.46965217590332,8.46965217590332,0.0,0.0009663875850161294,8.469652,4393176
atr_pct,-0.24659912,0.92142403,-1.5405687093734741,-1.5405687093734741,-1.5405687093734741,-1.2955566406249999,-0.46506085991859436,1.5447606444358795,3.3612102866172786,3.9754457473754883,3.9754457473754883,0.0,8.7286620582102e-06,3.9754457,4224160
idio_vol_to_btc_1d,-0.10734515,0.98890543,-1.4062511920928955,-1.4062511920928955,-1.4062511920928955,-1.2252829909324645,-0.3495567888021469,1.914922553300855,3.9528887271881104,3.9528887271881104,3.9528887271881104,0.0,0.002572461403726806,3.9528887,4443820
corr_to_btc_1d,-0.049117483,1.0238168,-3.9112346172332764,-3.9112346172332764,-3.6835857367515565,-2.109210968017578,0.18383388221263885,1.1750268876552574,1.2872434854507446,1.2872434854507446,1.2872434854507446,0.0,0.00024024603188788074,3.9112346,4470056
dom_btc_change_288b,0.009975153,0.8775815,-2.4395956993103027,-2.4395956993103027,-2.4214041090011595,-1.3489019989967346,-0.024327456951141357,1.4742794990539547,2.9979107666015583,3.7928261756896973,3.7928261756896973,0.0,0.00024024603188788074,3.7928262,4613311
vol_zscore_4h_over_7d,-0.051228702,0.932917,-1.305709958076477,-1.305709958076477,-1.274553587436676,-1.0479995906352997,-0.30364522337913513,1.8707045853137967,3.7300012922286987,3.78852915763855,3.78852915763855,0.0,0.009328445836781501,3.7885292,4471611
return_1d,-0.06757624,0.88035387,-2.4097111225128174,-2.4097111225128174,-2.3622845530509946,-1.4327335894107818,-0.0924924835562706,1.4218445301055898,2.7868014216423,3.6668150424957275,3.6668150424957275,0.0,6.858234474308014e-05,3.666815,3282049
beta_to_btc_change_5d,-0.35359368,0.89730144,-3.515721082687378,-3.515721082687378,-3.515721082687378,-1.9214284360408782,-0.2915814220905304,0.791646075248718,2.9800643920898438,2.9800643920898438,2.9800643920898438,0.0,0.012627880094784957,3.515721,4443292
