feature,z_absmax_p50,z_absmax_p95,z_absmax_max,z_std_med,z_zero_med
vwap_slope_96,2.8910565123055414,4.645315229473969,6.393687583998893,1.0,0.0
return_1d_sq,4.404751370653836,6.120683771187385,6.393371059283963,1.0,0.0
dom_btc_change_288b_sq,4.451477111561921,6.078113637457044,6.379318354783314,1.0,0.0
corr_to_btc_1d_sq,5.289854419096697,6.215371164594288,6.372947009112146,1.0,0.0
beta_to_btc_change_5d_sq,3.918096730243073,6.1916620156701,6.364429320574074,1.0,0.0
obv_z_1d,2.6981368234817658,4.342053804776999,6.320273081501873,1.0,0.0
corr_to_btc_change_3d_sq,3.7519096835807297,5.6637635426009485,6.300461834405691,1.0,0.0
idio_vol_to_btc_1h,2.386711648747019,3.822063707848762,6.220168008985308,1.0,0.0
vol_zscore_4h_over_7d,3.437774499851765,5.308422038168514,6.207367980211664,1.0,0.0
beta_to_btc_change_5d,3.0220724932954517,5.077034738365797,6.180916747952472,1.0,0.0
atr_pct,3.451395531222816,4.993130697080421,5.9625832328037855,1.0,0.0
corr_to_btc_1d,3.7913872470061363,5.214526671919111,5.962155969451326,1.0,0.0
return_1d,3.336759639103644,5.002638338175509,5.871406796781175,1.0,0.0
return_8h_orth,3.2596989900377147,4.663268861403713,5.787605015378012,1.0,0.0
dom_btc_change_288b,3.2511047550700978,4.7181127656049915,5.735544689362182,1.0,0.0
dom_btc_z_1d,2.657517231021026,4.013509089359385,5.6209033865223725,1.0,0.0
idio_vol_to_btc_1d,3.3807168522236726,4.704224723520446,5.565121971679524,1.0,0.0
corr_to_btc_change_3d,2.9207184482811823,4.127754109420366,5.180531665334667,1.0,0.0
funding_rate_1d_change,2.0141641275317843,3.3281415954767457,4.954029005421665,1.0,0.0
funding_rate_z_7d,2.113306891377527,3.0986757762112314,4.742619780762999,1.0,0.0
funding_rate,2.2774045974678168,2.9904920319195716,4.108219846315673,1.0,0.0
bars_since_high_xs_rank,1.926704541064752,2.3670916635597483,4.015064997351779,1.0,0.0
