feature,mean_abs_contrib,share_vs_score_abs,coef_mean,coef_pos_folds,sign_mean
bars_since_high_xs_rank,0.006332119269051556,0.409417400618278,0.0074412157140191434,1620,1.0
corr_to_btc_1d_sq,0.00555872799575202,0.3624279721273811,0.010090462382015549,1620,1.0
return_8h_orth,0.004908407196322238,0.3229033767893065,0.0069812260390402165,1440,-1.0
funding_rate,0.0037660692503278955,0.2467288332209378,0.004589940137267388,1620,-1.0
corr_to_btc_change_3d,0.003537941958189794,0.23047790674394458,0.004794981337521529,1620,1.0
vol_zscore_4h_over_7d,0.0027307478185189847,0.17901261338692734,0.003912526688902567,1620,-1.0
corr_to_btc_change_3d_sq,0.0027098320735264316,0.17314017075050453,0.003883859018911735,900,0.1111111111111111
corr_to_btc_1d,0.0025442587369212005,0.16667640528285485,0.0035751289116788855,1260,1.0
funding_rate_z_7d,0.0020382639971552804,0.1340897850518578,0.002433875936217496,1440,-1.0
dom_btc_change_288b,0.0019370126865003196,0.12534558274005067,0.002783290332143426,900,-1.0
beta_to_btc_change_5d_sq,0.0015120558521279834,0.09950093382928714,0.002153866836107481,1260,-1.0
vwap_slope_96,0.0008585116069864793,0.056652253860430254,0.0011625392185823672,900,-1.0
beta_to_btc_change_5d,0.0007403825134152464,0.05004280249334083,0.0009803896896147172,360,-0.5555555555555556
funding_rate_1d_change,0.0007305642675193389,0.049574776953192394,0.0008411073921086469,360,-0.5555555555555556
dom_btc_z_1d,0.0006274575141908354,0.04226268489446045,0.0007856802246080029,360,-1.0
atr_pct,0.0,0.0,0.0,0,-1.0
dom_btc_change_288b_sq,0.0,0.0,0.0,0,-1.0
idio_vol_to_btc_1d,0.0,0.0,0.0,0,-1.0
return_1d,0.0,0.0,0.0,0,-1.0
obv_z_1d,0.0,0.0,0.0,0,-1.0
idio_vol_to_btc_1h,0.0,0.0,0.0,0,-1.0
return_1d_sq,0.0,0.0,0.0,0,-1.0
