symbol,contrib_bps,n_picks
PIPPINUSDT,11740.363957360383,244
BROCCOLI714USDT,5759.8323997566085,191
SWARMSUSDT,1928.9221208115737,211
PENGUUSDT,1745.212520666731,145
TRBUSDT,1591.1621149763266,459
BANANAS31USDT,1232.6876718725541,196
NEARUSDT,1199.4841558771443,65
B3USDT,1191.0528520820662,138
HEIUSDT,1047.7833894644084,272
MUBARAKUSDT,775.6026019342244,61
INJUSDT,515.5872801848698,102
DOGEUSDT,468.1300680870965,122
AAVEUSDT,462.4345655611249,147
TUTUSDT,293.8525879289954,36
AVAXUSDT,245.302579254106,110
RAYSOLUSDT,192.6643918462408,41
UNIUSDT,103.48994493445693,15
NILUSDT,99.42378538350265,9
JTOUSDT,61.091462933594215,215
COOKIEUSDT,17.635560749719527,43
WLDUSDT,-6.075704259274039,24
BNBUSDT,-19.129817980380402,121
ALCHUSDT,-41.283201426267624,61
GMXUSDT,-44.67774039464227,23
ETHUSDT,-47.25986247649416,17
PAXGUSDT,-74.83748505668092,103
SONICUSDT,-78.01414011434343,31
FILUSDT,-115.16193626448513,8
SEIUSDT,-146.0691273435563,78
VANAUSDT,-182.64220399335815,81
PENDLEUSDT,-236.17891711182892,41
PLUMEUSDT,-236.69425766759895,204
HIVEUSDT,-358.2735593469504,66
ZECUSDT,-490.64684280892834,68
LDOUSDT,-518.7643495931601,37
AEROUSDT,-628.1736959742071,244
BCHUSDT,-677.2954044572542,109
SHELLUSDT,-746.8007424601334,175
GRIFFAINUSDT,-866.215796850156,34
VIRTUALUSDT,-1313.2163401072223,66
LAYERUSDT,-1608.3427214349895,105
FORMUSDT,-1823.5026025892391,80
