symbol,sum,count,semi_meme
ZECUSDT,2422.1963,30,False
VIRTUALUSDT,1898.6115,24,True
WLDUSDT,1355.9224,9,False
FILUSDT,1134.0938,6,False
VVVUSDT,696.17535,10,True
ASTERUSDT,231.09128,7,False
TONUSDT,218.29202,4,False
TAOUSDT,214.3827,3,False
BNBUSDT,201.63275,2,False
PENDLEUSDT,158.3235,2,False
HYPEUSDT,147.43939,16,False
FARTCOINUSDT,120.75931,4,True
OPUSDT,102.17522,1,False
PENGUUSDT,79.057884,4,True
ENAUSDT,70.17339,1,False
APTUSDT,16.411777,2,False
JUPUSDT,-8.731024,1,False
WIFUSDT,-10.23438,1,True
ADAUSDT,-35.90293,2,False
ATOMUSDT,-44.2705,2,False
LDOUSDT,-51.62602,1,False
SOLUSDT,-60.280495,1,False
ETHUSDT,-98.86454,4,False
SPXUSDT,-153.6004,12,True
JTOUSDT,-172.74455,2,False
DOGEUSDT,-212.4539,1,False
AAVEUSDT,-220.23096,2,False
TRUMPUSDT,-239.34026,4,True
STRKUSDT,-252.35735,5,False
BIOUSDT,-410.80365,15,True
PUMPUSDT,-679.4741,2,True
ICPUSDT,-2570.334,9,False
