symbol,sum,count,semi_meme
BIOUSDT,4729.4673,21,True
VVVUSDT,2654.1304,18,True
ZECUSDT,1809.7191,23,False
PUMPUSDT,1282.438,5,True
WLDUSDT,958.6021,6,False
TRUMPUSDT,864.17834,3,True
VIRTUALUSDT,615.49,9,True
FARTCOINUSDT,80.53302,2,True
ENAUSDT,70.17339,1,False
BNBUSDT,68.069626,1,False
ATOMUSDT,18.405685,2,False
XRPUSDT,13.723335,2,False
DOGEUSDT,8.445867,1,False
UNIUSDT,5.9540787,2,False
PAXGUSDT,-0.50330067,7,False
ETHUSDT,-1.317477,3,False
LTCUSDT,-1.3389707,1,False
PENDLEUSDT,-8.90255,2,False
ASTERUSDT,-30.735306,1,False
SPXUSDT,-83.91028,4,True
TONUSDT,-159.85942,3,False
HYPEUSDT,-188.23157,7,False
STRKUSDT,-209.77708,2,False
PENGUUSDT,-253.52301,2,True
ICPUSDT,-647.2381,6,False
FILUSDT,-686.23364,3,False
