symbol,sum,count,semi_meme
BIOUSDT,5317.497,17,True
ZECUSDT,3390.5159,21,False
VVVUSDT,2809.7107,16,True
PUMPUSDT,2458.8452,5,True
VIRTUALUSDT,1780.3655,7,True
ICPUSDT,1260.5502,8,False
WLDUSDT,1166.4473,4,False
FILUSDT,1163.635,4,False
TAOUSDT,714.2096,1,False
HYPEUSDT,418.59787,2,False
TRUMPUSDT,256.2572,5,True
JUPUSDT,135.80661,1,False
BNBUSDT,132.6932,3,False
INJUSDT,119.883965,1,False
TONUSDT,14.541169,1,False
PENDLEUSDT,14.067284,1,False
XRPUSDT,13.373833,1,False
SPXUSDT,8.841553,3,True
JTOUSDT,7.511354,1,False
PAXGUSDT,3.2929516,7,False
ETHUSDT,-17.291893,2,False
STRKUSDT,-50.77487,1,False
FARTCOINUSDT,-694.6786,2,True
