feature,missing_pct,zero_pct,std,p01,p99,n_cycles,ic_mean,ic_median,ic_t,pearson_mean,spread_bps,spread_pos_pct
corr_to_btc_1d,0.0,0.00024024603188788074,1.0238168239593506,-3.6835857367515565,1.2872434854507446,1620,0.022957820390162843,0.021450854873997248,4.861865492383734,-0.005912336796819904,-6.242257461374924,0.4962962962962963
bars_since_high_xs_rank,0.0,8.7286620582102e-06,0.9870883822441101,-1.7322237491607666,1.826966643333435,1620,0.012900798082297929,0.009150756690623964,2.803173559500664,0.007026140231503543,-0.34162985932679824,0.5154320987654321
beta_to_btc_change_5d,0.0,0.012627880094784957,0.897301435470581,-3.515721082687378,2.9800643920898438,1620,0.011202467398789322,0.01158536585365854,1.649609598355797,0.01113863613124854,9.163030664861939,0.5185185185185185
corr_to_btc_change_3d,0.0,0.0009663875850161294,1.0948086977005005,-2.910266637802124,2.4580752849578857,1620,0.01075250286183657,0.007351511222753425,2.2575665074198223,0.002294644752877571,-2.1652283674404944,0.4993827160493827
corr_to_btc_1d_sq,0.0,0.00024024603188788074,2.1593029499053955,0.00015228684147587047,13.56880356788635,1620,0.007670529340566851,0.013045944412932503,1.5521362899929756,0.007705552223961306,6.281522395507789,0.5166666666666667
funding_rate_1d_change,0.0,0.0,0.9988139271736145,-1.5850083827972412,1.8562171459197998,1620,0.004630184817350379,0.01008932509031345,1.0920008055423003,0.0028419501515145407,-1.6289236549977903,0.49135802469135803
funding_rate,0.0,0.0,1.0390350818634033,-1.8027602434158325,2.523559331893921,1620,0.002207901829420086,0.0016207702021195556,0.5219628867924291,-0.005497951067691472,-3.462881240579817,0.5117283950617284
funding_rate_z_7d,0.0,0.0,0.9995081424713135,-1.712367296218872,1.7539502382278442,1620,-0.0005895868803366507,-0.0013107571230354565,-0.14356975048704754,-0.0034451149452845446,-2.317015320577739,0.48333333333333334
corr_to_btc_change_3d_sq,0.0,0.0009663875850161294,1.7936570644378662,0.0001106028672802495,8.46965217590332,1620,-0.005012804796829754,-0.005348026902195933,-1.089864983933624,0.004728443946604192,6.998773430453406,0.4839506172839506
return_1d_sq,0.0,6.858234474308014e-05,1.5789860486984253,5.726369272451848e-05,7.766262168884257,1620,-0.00968361784281209,-0.009642654566080544,-1.7770390778791836,-0.0013947242721987828,7.767260614442237,0.4888888888888889
vol_zscore_4h_over_7d,0.0,0.009328445836781501,0.9329169988632202,-1.274553587436676,3.7300012922286987,1620,-0.010187608960823925,-0.012638765091969859,-2.229719621646082,-0.009802826624382753,1.0204055273238524,0.49506172839506174
dom_btc_change_288b_sq,0.0,0.00024024603188788074,1.7162299156188965,4.852340724028182e-05,8.987468891143774,1620,-0.01512098571261796,-0.016368203549145123,-2.908076836843602,-0.0051373928040524715,8.36420909659362,0.4888888888888889
beta_to_btc_change_5d_sq,0.0,0.012627880094784957,2.205122232437134,0.0,12.360294342041016,1620,-0.0191467246287576,-0.02473867595818816,-2.853674704522254,-0.014788159825875493,-7.43812102197129,0.4728395061728395
return_8h_orth,0.0,0.0001284360274279501,0.9174672365188599,-2.6115746212005613,2.7667587375640856,1620,-0.024332057727335175,-0.027874564459930314,-4.459640806415771,-0.022125803320168093,-12.984600530141666,0.4685185185185185
obv_z_1d,0.0,0.00023941473073947977,0.9987685084342957,-2.212200164794922,2.470766305923462,1620,-0.030400379501543836,-0.028077141236528644,-6.895988976302792,-0.024763851270941068,-11.110277504317555,0.43950617283950616
dom_btc_change_288b,0.0,0.00024024603188788074,0.8775814771652222,-2.4214041090011595,2.9979107666015583,1620,-0.03372266992036463,-0.037517219026010865,-6.086365195559296,-0.012491341494342402,0.6758971588111218,0.4845679012345679
return_1d,0.0,6.858234474308014e-05,0.8803538680076599,-2.3622845530509946,2.7868014216423,1620,-0.03380415729173346,-0.03719309618345353,-6.113871013833699,-0.012060146063712265,-0.2632542707301952,0.48518518518518516
idio_vol_to_btc_1d,0.0,0.002572461403726806,0.9889054298400879,-1.4062511920928955,3.9528887271881104,1620,-0.03578110705108342,-0.04821327283040273,-4.743621946495537,2.544932766358874e-06,11.670711823157323,0.495679012345679
vwap_slope_96,0.0,0.0,0.9487323760986328,-1.6971590304374695,1.6830068826675415,1620,-0.0360371135763986,-0.035234646238616746,-6.830394948310814,-0.02613181278849232,-12.26343086840194,0.44074074074074077
idio_vol_to_btc_1h,0.0,0.0,1.0344213247299194,-1.7247159481048584,1.700892686843872,1620,-0.04109399236441665,-0.047321935013370064,-5.893515572639997,-0.006159551305528823,5.5319994589428845,0.49876543209876545
atr_pct,0.0,8.7286620582102e-06,0.9214240312576294,-1.5405687093734741,3.3612102866172786,1620,-0.041368375741971906,-0.04817073170731708,-5.903069269831907,-0.007185334678039827,7.4390693567417285,0.4888888888888889
dom_btc_z_1d,0.0,0.00023941473073947977,0.9984063506126404,-2.063128709793091,2.324070692062378,1620,-0.04579841176290161,-0.04197390811117413,-9.005624428672137,-0.027424113444108496,-7.136701339704019,0.45
