symbol,gross_bps,on_hl
ZECUSDT,2942.086464451374,True
UNIUSDT,2156.6333811400305,True
VIRTUALUSDT,1922.0057192433158,True
AVAXUSDT,1346.0774177413743,True
ARBUSDT,1335.7257968891647,True
FILUSDT,1183.2328426923289,True
TRUMPUSDT,1144.9636011942239,True
SPXUSDT,1097.3160102730626,True
PENDLEUSDT,1066.433840411871,True
INJUSDT,949.9293955741449,True
WIFUSDT,903.454650736724,True
JUPUSDT,896.079909947124,True
BNBUSDT,856.2044947780126,True
ADAUSDT,793.8562982599251,True
PENGUUSDT,789.3023899206738,True
ICPUSDT,726.5374370156981,True
APTUSDT,694.926700301342,True
AAVEUSDT,569.4508078401366,True
TIAUSDT,454.3864984104106,True
FARTCOINUSDT,441.52849965030265,True
ENAUSDT,401.0792943184544,True
XRPUSDT,328.06649926897086,True
ATOMUSDT,317.31381011923054,True
PUMPUSDT,231.8193236351368,True
DOGEUSDT,229.47739783072996,True
PAXGUSDT,98.60797185562319,True
NEARUSDT,-110.20194016358197,True
ONDOUSDT,-145.5310263069499,True
LINKUSDT,-406.20286784057186,True
SUIUSDT,-484.22336374642356,True
HYPEUSDT,-543.9181306307238,True
ETHUSDT,-616.4009928761515,True
SOLUSDT,-658.7159488238588,True
TAOUSDT,-702.3622867685233,True
LTCUSDT,-712.0291865430776,True
ASTERUSDT,-726.6679981163786,True
LDOUSDT,-790.8319630466106,True
TONUSDT,-827.8320451033023,True
OPUSDT,-1216.618041168355,True
WLDUSDT,-1234.911375965263,True
JTOUSDT,-1468.7795732121842,True
STRKUSDT,-2263.4248770433874,True
