symbol,gross_bps,on_hl
TRUMPUSDT,2151.613988474614,True
ZECUSDT,2109.184990850208,True
PUMPUSDT,1744.2150625659747,True
AVAXUSDT,1718.517668741697,True
SPXUSDT,1684.3069545575424,True
NEARUSDT,1458.285655104798,True
FARTCOINUSDT,1274.5189869019657,True
ICPUSDT,1152.603528051562,True
XRPUSDT,1032.5757105116888,True
ARBUSDT,988.8422199098081,True
JUPUSDT,853.7524661884771,True
WLDUSDT,822.2775586909842,True
PENDLEUSDT,701.0732612495,True
FILUSDT,528.0057666823269,True
INJUSDT,456.79208045195685,True
ADAUSDT,441.0185752810017,True
ONDOUSDT,359.5228907458174,True
PENGUUSDT,317.44731222715853,True
SUIUSDT,284.38384217830986,True
BNBUSDT,270.3580442721431,True
ENAUSDT,212.5650246580329,True
TIAUSDT,192.9979939025846,True
ASTERUSDT,130.67407474560827,True
TONUSDT,80.472782771419,True
VIRTUALUSDT,40.98079851246409,True
PAXGUSDT,-4.879417586683532,True
ETHUSDT,-30.22626213654195,True
HYPEUSDT,-37.31098270994517,True
LDOUSDT,-99.86980810936082,True
APTUSDT,-225.01347091141093,True
WIFUSDT,-245.64114736373682,True
SOLUSDT,-339.2273320181023,True
LINKUSDT,-422.3692359422178,True
TAOUSDT,-479.21419626315384,True
AAVEUSDT,-493.19605820831714,True
LTCUSDT,-497.01834223621165,True
DOGEUSDT,-523.5044716391714,True
ATOMUSDT,-688.1935136334507,True
OPUSDT,-921.4286479982547,True
UNIUSDT,-935.6816825553927,True
JTOUSDT,-1920.5178010209538,True
STRKUSDT,-3513.7287882146966,True
