symbol,gross_bps,on_hl
WIFUSDT,1826.3243744877402,True
JUPUSDT,1451.6292126578878,True
UNIUSDT,1446.4598255775247,True
PENGUUSDT,1395.8588729800194,True
FILUSDT,1244.4897593134858,True
SPXUSDT,1138.8173431381208,True
TIAUSDT,1025.7632576455458,True
INJUSDT,954.6321470406832,True
ADAUSDT,951.8517467464944,True
APTUSDT,866.1018717733288,True
AVAXUSDT,782.5177482542733,True
ARBUSDT,776.9540509131427,True
OPUSDT,747.5576128733034,True
BNBUSDT,738.5007617381239,True
AAVEUSDT,501.9961316308278,True
ASTERUSDT,420.76509550194345,True
LINKUSDT,396.7636356810541,True
NEARUSDT,342.79229446231824,True
JTOUSDT,258.6303828987486,True
DOGEUSDT,206.03867710330337,True
PAXGUSDT,163.6276425294153,True
TONUSDT,68.99828706082164,True
SOLUSDT,56.906093165404485,True
TAOUSDT,12.938827955319113,True
ENAUSDT,-42.84210328175169,True
XRPUSDT,-75.00453111788411,True
SUIUSDT,-106.8828626497026,True
PUMPUSDT,-111.45253844006284,True
LTCUSDT,-162.01144844065595,True
ONDOUSDT,-218.28351639366412,True
HYPEUSDT,-296.98769175108026,True
PENDLEUSDT,-351.7276137912027,True
ETHUSDT,-380.8781513119659,True
VIRTUALUSDT,-463.5185172188969,True
ATOMUSDT,-753.6133152461841,True
FARTCOINUSDT,-885.3366037268029,True
STRKUSDT,-1231.0323906664653,True
WLDUSDT,-1261.8785667291363,True
TRUMPUSDT,-1520.920041404377,True
ICPUSDT,-1761.519649832431,True
LDOUSDT,-2319.866022213924,True
ZECUSDT,-4514.902030653817,True
