symbol,gross_bps,on_hl
GRIFFAINUSDT,2930.131345686582,True
GMXUSDT,2260.2755710249758,True
WLDUSDT,1959.3394169836145,True
VVVUSDT,1710.010612853998,True
AIXBTUSDT,1707.3933262145151,True
FARTCOINUSDT,1701.157078690206,True
UNIUSDT,1644.1092369495889,True
ZECUSDT,1576.8081670588185,True
FILUSDT,1086.7736878572034,True
MELANIAUSDT,1062.8817654772624,True
PUMPUSDT,816.9655249730561,True
ICPUSDT,788.5470058560408,True
AVAXUSDT,712.5931724537319,True
JUPUSDT,646.7451630336047,True
PENDLEUSDT,621.8699203842942,True
INJUSDT,577.4164981752012,True
BIOUSDT,553.6065481040482,True
TONUSDT,552.888803261643,True
SPXUSDT,499.6591663802972,True
USUALUSDT,447.5109950605355,True
NEARUSDT,444.2028414390128,True
AEROUSDT,436.7161985525551,True
TRUMPUSDT,387.57644037104893,True
MOVEUSDT,381.28509161955066,True
AAVEUSDT,360.76168335663795,True
ASTERUSDT,261.17658396098363,True
TRBUSDT,254.94248625060823,True
PENGUUSDT,250.41704337733478,True
ATOMUSDT,250.07354002203397,True
MEUSDT,246.17920792176554,True
BCHUSDT,204.33855873913356,True
ADAUSDT,196.09990044652167,True
LAYERUSDT,177.80980822863052,True
HBARUSDT,176.64930589186648,True
ARBUSDT,135.26576163712886,True
ONDOUSDT,114.73813205763383,True
SUIUSDT,85.88327686690413,True
ENAUSDT,-3.541099913491081,True
LINKUSDT,-83.87881597930874,True
RUNEUSDT,-95.6223780910174,True
WIFUSDT,-106.90745461033671,True
TAOUSDT,-183.10147395823137,True
BNBUSDT,-219.5752271685099,True
KAITOUSDT,-237.8617810018106,True
TIAUSDT,-297.29894954167924,True
NILUSDT,-301.6946938441833,True
SUSDT,-345.7460859984471,True
APTUSDT,-396.48760577620106,True
PAXGUSDT,-398.6251046808319,True
DOGEUSDT,-456.77338794727495,True
LDOUSDT,-457.56559925697127,True
LTCUSDT,-464.4308673838774,True
DOTUSDT,-476.2846208177508,True
ETHUSDT,-524.9205454310867,True
XRPUSDT,-526.8172890646383,True
ETCUSDT,-605.6790569952379,True
VIRTUALUSDT,-625.242509462017,True
SEIUSDT,-669.1292754840105,True
JTOUSDT,-763.5310823631397,True
HYPEUSDT,-795.9067157450287,True
SOLUSDT,-815.5167800820591,True
OPUSDT,-943.0252801394088,True
BERAUSDT,-962.0954239896186,True
ANIMEUSDT,-1280.8923716208178,True
TSTUSDT,-2122.738094428014,True
AXSUSDT,-2242.9249244184275,True
STRKUSDT,-2501.383370739254,True
VINEUSDT,-2655.411184429493,True
IPUSDT,-2895.762318754956,True
ORDIUSDT,-4433.347256563136,True
