model,config,ic,rho,k1,k3,k10,folds,k3_drop2,gate
nnls_oriented,all,0.02590838139193216,0.3696969696969697,7.202687076150939,6.770274590212372,3.0581779437751795,7,6.964121255885134,False
nnls_oriented,drop_trend,0.02854885078367779,0.5272727272727272,5.60012790387988,8.980350168563891,3.2668783201660956,6,8.025735265241218,False
nnls_oriented,drop_squared,0.022016498868455765,0.4545454545454545,10.116196316129457,7.785762517802307,2.8833855997155062,7,3.903806267079691,False
nnls_oriented,drop_vol,0.024912623230358158,0.5636363636363636,0.19157226190010854,5.752603331135665,2.6915546034560807,7,5.480557485818847,False
nnls_oriented,drop_funding,0.027743668696589854,0.8424242424242423,3.7710305681275154,6.642008259439596,2.3142294743718175,7,3.882150877108436,False
nnls_oriented,drop_btc_rel,0.02390920928262581,0.43030303030303024,19.51974435050269,8.226931303222136,2.9912046416418407,8,6.543977530375727,False
nnls_oriented,only_trend,0.023390150857375665,0.4545454545454545,2.606459871172033,3.035422327168932,2.01993011193271,7,4.230304073115553,False
nnls_oriented,only_squared,0.0076359905236846335,0.4666666666666666,12.871552972969598,4.893408222582275,3.3442887364908165,5,1.244562831174543,False
nnls_oriented,only_vol,0.010187608960823925,-0.11515151515151514,3.075359223041715,-0.8308579605278819,0.3762273357679471,4,1.2288532540360422,False
nnls_oriented,only_funding,-0.0028616863242677923,0.34545454545454546,4.142267645425975,3.2526632557636765,3.0766190664190303,5,0.6080286877340114,False
nnls_oriented,only_btc_rel,0.03698689911862009,0.6242424242424242,3.010624318035775,5.574106366491556,4.162667557785709,7,10.303460823646583,False
ridge_xsz,all,0.007885089218044409,0.5515151515151515,10.267190093198808,5.944423505975332,2.2192341018847768,7,8.272257505801843,False
ridge_xsz,drop_trend,0.01440726400690477,0.7212121212121211,9.768232852509216,6.027843204080283,4.800079834922653,6,7.622290780477108,False
ridge_xsz,drop_squared,0.0019723975386671546,0.11515151515151514,4.629369767203402,0.8635413979475856,-0.16793537184168858,5,-2.381522637612083,False
ridge_xsz,drop_vol,0.013378343276717261,0.6,5.581662212614868,6.9002085556522,3.0136231749773645,6,4.486401662713672,False
ridge_xsz,drop_funding,0.008034938126165203,0.2121212121212121,6.8433124453585386,8.129212437606538,1.3012549366616064,7,4.147520508822868,False
ridge_xsz,drop_btc_rel,0.005985204546369228,0.33333333333333326,8.43195909248079,7.300393439637856,3.4619729667404107,7,8.427890984226211,False
ridge_xsz,only_trend,0.014775948546037412,0.006060606060606061,-6.642896331510639,1.041153394333897,0.21975754335306102,5,-4.00461021044606,False
ridge_xsz,only_squared,0.0022281169135627632,0.5515151515151515,8.823543557400065,10.10834273996308,5.135032730814996,8,8.16452379964141,False
ridge_xsz,only_vol,-0.016500420582477682,0.41818181818181815,-0.2899018778901527,5.056829997619792,1.4602992549909832,7,5.506689861473333,False
ridge_xsz,only_funding,-0.001964709049793311,0.2606060606060606,11.163052085886406,9.057004662249495,3.3709227916891162,8,6.260758431393829,False
ridge_xsz,only_btc_rel,0.025388877576909344,0.6242424242424242,0.6730229348435117,2.723563700666688,2.559518069904892,4,1.136297835077321,False
