variant,n_feat,net_sharpe,ci_lo,ci_hi,net_bps_cyc,gross_k3_bps,decile_rho,folds_pos,ic_mean
sqbtcrel_ridge_cv,9,2.2932881835118533,0.5538862288101761,4.545130532582747,53.0971966940948,62.0971966940948,0.6727272727272726,8,0.02032410264259385
sqbtcrel_signed_equal,9,-3.5233930676586316,-5.498788283018739,-1.9879061396542188,-89.34717126725742,-80.34717126725742,-0.4666666666666666,1,0.033021443203897355
sqbtcrel_ridge_alpha_0.1,9,2.3342677387888635,0.6194064182596403,4.471601286895547,53.86827984437013,62.86827984437013,0.7939393939393938,9,0.023210858069054333
sqbtcrel_ridge_alpha_1,9,2.3342677387888635,0.6194064182596403,4.471601286895547,53.86827984437013,62.86827984437013,0.7939393939393938,9,0.02321567239368336
sqbtcrel_ridge_alpha_10,9,2.324164038089421,0.6166702274452345,4.455596085254874,53.57888069196696,62.57888069196696,0.7939393939393938,9,0.02317118572554383
sqbtcrel_ridge_alpha_100,9,2.209788353645519,0.49349566435168263,4.3480916916423595,50.91817009024449,59.91817009024449,0.7454545454545454,9,0.022830634541260372
sqbtcrel_ridge_alpha_1000,9,2.0399337152423973,0.2441223632355759,4.289514067024725,47.45228765113778,56.45228765113778,0.7454545454545454,8,0.020722711215242884
sqbtcrel_ridge_alpha_10000,9,1.7854702138636493,0.01651387966913041,4.014527596272442,41.90224086649116,50.90224086649116,0.7575757575757575,6,0.016048806536138736
only_squared,5,2.3743057122793814,0.49076117065309194,4.478373143187659,58.925036456966346,67.92503645696635,0.5515151515151515,8,0.0080132894856311
only_btcrel,4,0.2522672100045849,-1.492803142938902,2.424074935089349,5.539127169601988,14.539127169601988,0.33333333333333326,5,0.016354668226950322
two_group_ridge,2,2.789810653208409,1.1593107388477926,4.751865207815966,67.52272585030993,76.52272585030993,0.6484848484848483,7,-0.01821178649785192
drop_return_1d_sq,8,1.848771842375446,0.2054366420809606,4.125882720123168,45.77555558086296,54.77555558086296,0.7939393939393938,8,0.019297114183198513
drop_corr_to_btc_1d_sq,8,2.7970572344359272,1.1684707203034275,4.421035008960305,66.0379129513246,75.0379129513246,0.5636363636363636,9,0.008953993563560596
drop_beta_to_btc_change_5d_sq,8,1.8245774025590893,0.28735708584491554,3.936323205953383,40.877353543734785,49.877353543734785,0.7818181818181817,9,0.022258220096185683
drop_dom_btc_change_288b_sq,8,1.8921974384255944,0.08584286254855783,4.094603969486764,44.79409317724204,53.79409317724204,0.6969696969696969,7,0.018795680485981115
drop_corr_to_btc_change_3d_sq,8,2.2711390952138104,0.5397879708863537,4.500379023152482,52.98842709584454,61.98842709584454,0.709090909090909,7,0.021001460130312465
drop_corr_to_btc_1d,8,1.7714836765039956,0.09799568182904597,3.7748899118556785,41.38922113708058,50.38922113708058,0.8181818181818182,7,0.019654179510957732
drop_corr_to_btc_change_3d,8,2.6629742115855692,0.7658645069753771,4.991287325654414,64.60619176198932,73.60619176198932,0.709090909090909,8,0.01981378865667011
drop_beta_to_btc_change_5d,8,1.7376524498622707,0.06865769773360463,3.646494022849198,38.15603600274291,47.15603600274291,0.6121212121212121,8,0.015994534620929028
drop_dom_btc_z_1d,8,2.0130141163148103,0.35853763358021773,4.179729763366807,47.97578214998722,56.97578214998722,0.8424242424242423,7,0.015274642855850215
