gate,action,period,macro,trend_bucket,n,edge_sum,edge_mean,win_rate,long_mean,short_mean
btc_bear_only,skip,2025H2,side,side_flat,500,-35306.351776527976,-70.61270355305595,0.486,48.006870930157675,-118.61957448321363
btc_bear_only,skip,2025H1,bull,bull_deep,92,-27770.8853473996,-301.85744942825653,0.5108695652173914,-143.20538279543658,-158.65206663281992
btc_bear_only,skip,2025H1,bull,bull_mild,104,-23089.630481931636,-222.0156777108811,0.40384615384615385,-356.14122513204796,134.12554742116683
btc_bear_only,skip,2024,side,side_flat,658,-20602.388729300572,-31.310621169149805,0.4848024316109423,-79.76976254479163,48.45914137564184
btc_bear_only,skip,2024,bull,bull_deep,462,-15484.519359024489,-33.51627566888418,0.461038961038961,7.332163274885877,-40.848438943770056
btc_bear_only,skip,2024,bull,bull_mild,233,-13637.440261146026,-58.529786528523715,0.4592274678111588,-76.30335138448119,17.77356485595748
btc_bear_only,skip,2025H1,side,side_up,129,-12938.14199221515,-100.29567435825699,0.3953488372093023,-209.95631826016782,109.66064390191083
btc_bear_only,skip,2025H1,side,side_flat,293,-12488.141624185118,-42.621643768549895,0.49146757679180886,-107.22009302676751,64.59844925821761
btc_bear_only,skip,2024,side,side_down,276,-8354.035672902,-30.268245191673916,0.4746376811594203,22.975200524014774,-53.24344571568869
btc_bear_only,skip,2024,bull,bull_hot,77,-6802.1671522819815,-88.33983314651924,0.4155844155844156,-92.66612269460562,4.326289548086382
btc_bear_only,skip,2025H1,bull,bull_hot,45,-5337.957005694989,-118.62126679322198,0.5111111111111111,-112.48429988740503,-6.136966905816937
btc_bear_only,skip,2026,bull,bull_hot,41,-2210.42134486197,-53.91271572834073,0.43902439024390244,154.96699090673667,-208.8797066350774
btc_bear_only,skip,2025H2,bull,bull_mild,102,4169.459453914897,40.87705346975389,0.46078431372549017,-0.638515514711959,41.515568984465844
btc_bear_only,skip,2025H1,side,side_down,110,4305.846164415925,39.144056040144775,0.4909090909090909,46.1653896461278,-7.021333605983025
btc_bear_only,skip,2026,bull,bull_mild,94,9719.0637697895,103.39429542329255,0.5638297872340425,8.741702617276422,94.65259280601613
btc_bear_only,skip,2026,side,side_down,47,10388.269164122903,221.02700349197667,0.6382978723404256,210.33923976226126,10.687763729715408
btc_bear_only,skip,2025H2,side,side_down,142,15618.072768038899,109.98642794393591,0.5704225352112676,71.13431787483708,38.852110069098835
btc_bear_only,skip,2024,side,side_up,297,21445.88484376129,72.20836647731075,0.5791245791245792,0.22510458340474718,71.98326189390599
btc_bear_only,skip,2026,side,side_up,126,30289.042954609613,240.389229798489,0.5476190476190477,-63.80576533768954,304.19499513617853
btc_bear_only,skip,2026,side,side_flat,411,31903.104960343855,77.6231264241943,0.5669099756690997,30.038403140716913,47.58472328347737
btc_bear_only,skip,2025H2,side,side_up,103,56620.17322915517,549.7104197005356,0.5825242718446602,339.50397261336445,210.20644708717123
btc_bear_only,trade,2025H2,bear,bear_mid,67,-32253.58143201447,-481.39673779126076,0.3582089552238806,14.744321450785693,-496.1410592420464
btc_bear_only,trade,2024,bear,bear_deep,12,-6341.990924984202,-528.4992437486835,0.25,-182.3776876941944,-346.1215560544891
btc_bear_only,trade,2025H1,bear,bear_deep,11,-4071.072173101129,-370.09747028192083,0.18181818181818182,-353.0531645149247,-17.044305766996164
btc_bear_only,trade,2026,bear,bear_mid,91,-1006.701539627102,-11.062654281616505,0.5054945054945055,-129.38393027330417,118.32127599168766
btc_bear_only,trade,2026,bear,bear_mild,41,-144.22702202864457,-3.517732244601087,0.5365853658536586,-48.881551733867994,45.3638194892669
btc_bear_only,trade,2025H2,bear,bear_deep,50,6056.192031173849,121.12384062347697,0.42,-240.17592679301742,361.29976741649443
btc_bear_only,trade,2025H1,bear,bear_mid,56,7668.262022493764,136.93325040167434,0.5357142857142857,179.2031035177745,-42.26985311610016
btc_bear_only,trade,2024,bear,bear_mid,42,9253.348437168825,220.31781993259105,0.6428571428571429,143.00846415218464,77.30935578040642
btc_bear_only,trade,2024,bear,bear_mild,139,20737.95341908408,149.1939094898135,0.6330935251798561,39.518940353158044,109.67496913665548
btc_bear_only,trade,2025H1,bear,bear_mild,114,22909.60467455534,200.96144451364333,0.6403508771929824,135.91499541737568,65.04644909626765
btc_bear_only,trade,2025H2,bear,bear_mild,111,36795.295759784494,331.4891509890495,0.5945945945945946,230.12356611591687,101.36558487313262
btc_bear_only,trade,2026,bear,bear_deep,204,44078.17625938151,216.06949146755642,0.6029411764705882,82.06820352093999,134.00128794661643
btc_no_bull,skip,2025H1,bull,bull_deep,92,-27770.8853473996,-301.85744942825653,0.5108695652173914,-143.20538279543658,-158.65206663281992
btc_no_bull,skip,2025H1,bull,bull_mild,104,-23089.630481931636,-222.0156777108811,0.40384615384615385,-356.14122513204796,134.12554742116683
btc_no_bull,skip,2024,bull,bull_deep,462,-15484.519359024489,-33.51627566888418,0.461038961038961,7.332163274885877,-40.848438943770056
btc_no_bull,skip,2024,bull,bull_mild,233,-13637.440261146026,-58.529786528523715,0.4592274678111588,-76.30335138448119,17.77356485595748
btc_no_bull,skip,2024,bull,bull_hot,77,-6802.1671522819815,-88.33983314651924,0.4155844155844156,-92.66612269460562,4.326289548086382
btc_no_bull,skip,2025H1,bull,bull_hot,45,-5337.957005694989,-118.62126679322198,0.5111111111111111,-112.48429988740503,-6.136966905816937
btc_no_bull,skip,2026,bull,bull_hot,41,-2210.42134486197,-53.91271572834073,0.43902439024390244,154.96699090673667,-208.8797066350774
btc_no_bull,skip,2025H2,bull,bull_mild,102,4169.459453914897,40.87705346975389,0.46078431372549017,-0.638515514711959,41.515568984465844
btc_no_bull,skip,2026,bull,bull_mild,94,9719.0637697895,103.39429542329255,0.5638297872340425,8.741702617276422,94.65259280601613
btc_no_bull,trade,2025H2,side,side_flat,500,-35306.351776527976,-70.61270355305595,0.486,48.006870930157675,-118.61957448321363
btc_no_bull,trade,2025H2,bear,bear_mid,67,-32253.58143201447,-481.39673779126076,0.3582089552238806,14.744321450785693,-496.1410592420464
btc_no_bull,trade,2024,side,side_flat,658,-20602.388729300572,-31.310621169149805,0.4848024316109423,-79.76976254479163,48.45914137564184
btc_no_bull,trade,2025H1,side,side_up,129,-12938.14199221515,-100.29567435825699,0.3953488372093023,-209.95631826016782,109.66064390191083
btc_no_bull,trade,2025H1,side,side_flat,293,-12488.141624185118,-42.621643768549895,0.49146757679180886,-107.22009302676751,64.59844925821761
btc_no_bull,trade,2024,side,side_down,276,-8354.035672902,-30.268245191673916,0.4746376811594203,22.975200524014774,-53.24344571568869
btc_no_bull,trade,2024,bear,bear_deep,12,-6341.990924984202,-528.4992437486835,0.25,-182.3776876941944,-346.1215560544891
btc_no_bull,trade,2025H1,bear,bear_deep,11,-4071.072173101129,-370.09747028192083,0.18181818181818182,-353.0531645149247,-17.044305766996164
btc_no_bull,trade,2026,bear,bear_mid,91,-1006.701539627102,-11.062654281616505,0.5054945054945055,-129.38393027330417,118.32127599168766
btc_no_bull,trade,2026,bear,bear_mild,41,-144.22702202864457,-3.517732244601087,0.5365853658536586,-48.881551733867994,45.3638194892669
btc_no_bull,trade,2025H1,side,side_down,110,4305.846164415925,39.144056040144775,0.4909090909090909,46.1653896461278,-7.021333605983025
btc_no_bull,trade,2025H2,bear,bear_deep,50,6056.192031173849,121.12384062347697,0.42,-240.17592679301742,361.29976741649443
btc_no_bull,trade,2025H1,bear,bear_mid,56,7668.262022493764,136.93325040167434,0.5357142857142857,179.2031035177745,-42.26985311610016
btc_no_bull,trade,2024,bear,bear_mid,42,9253.348437168825,220.31781993259105,0.6428571428571429,143.00846415218464,77.30935578040642
btc_no_bull,trade,2026,side,side_down,47,10388.269164122903,221.02700349197667,0.6382978723404256,210.33923976226126,10.687763729715408
btc_no_bull,trade,2025H2,side,side_down,142,15618.072768038899,109.98642794393591,0.5704225352112676,71.13431787483708,38.852110069098835
btc_no_bull,trade,2024,bear,bear_mild,139,20737.95341908408,149.1939094898135,0.6330935251798561,39.518940353158044,109.67496913665548
btc_no_bull,trade,2024,side,side_up,297,21445.88484376129,72.20836647731075,0.5791245791245792,0.22510458340474718,71.98326189390599
btc_no_bull,trade,2025H1,bear,bear_mild,114,22909.60467455534,200.96144451364333,0.6403508771929824,135.91499541737568,65.04644909626765
btc_no_bull,trade,2026,side,side_up,126,30289.042954609613,240.389229798489,0.5476190476190477,-63.80576533768954,304.19499513617853
btc_no_bull,trade,2026,side,side_flat,411,31903.104960343855,77.6231264241943,0.5669099756690997,30.038403140716913,47.58472328347737
btc_no_bull,trade,2025H2,bear,bear_mild,111,36795.295759784494,331.4891509890495,0.5945945945945946,230.12356611591687,101.36558487313262
btc_no_bull,trade,2026,bear,bear_deep,204,44078.17625938151,216.06949146755642,0.6029411764705882,82.06820352093999,134.00128794661643
btc_no_bull,trade,2025H2,side,side_up,103,56620.17322915517,549.7104197005356,0.5825242718446602,339.50397261336445,210.20644708717123
bucket_report_card,skip,2025H2,side,side_flat,315,-38686.27680285186,-122.81357715191068,0.46984126984126984,51.0726400373945,-173.8862171893052
bucket_report_card,skip,2025H1,bull,bull_deep,92,-27770.8853473996,-301.85744942825653,0.5108695652173914,-143.20538279543658,-158.65206663281992
bucket_report_card,skip,2025H1,bull,bull_mild,70,-25691.42690495937,-367.02038435656243,0.35714285714285715,-536.3834583965529,169.3630740399905
bucket_report_card,skip,2025H1,side,side_flat,181,-10391.233821262631,-57.410131609185804,0.47513812154696133,-129.08994668486386,71.67981507567805
bucket_report_card,skip,2024,bull,bull_deep,231,-9590.303110144305,-41.51646368027838,0.45454545454545453,-98.08487069708129,56.5684070168029
bucket_report_card,skip,2024,side,side_flat,300,-7441.2403669794,-24.804134556598,0.48333333333333334,-82.76484630720613,57.96071175060812
bucket_report_card,skip,2025H1,bull,bull_hot,32,-7372.227630849011,-230.3821134640316,0.40625,-201.85559582273527,-28.52651764129633
bucket_report_card,skip,2024,side,side_down,123,-7041.120428727936,-57.24488153437346,0.44715447154471544,-58.81612096469488,1.5712394303214174
bucket_report_card,skip,2025H1,side,side_down,40,-5322.774193919031,-133.06935484797577,0.425,-52.36041300668148,-80.70894184129429
bucket_report_card,skip,2025H1,side,side_up,60,-5229.229592976026,-87.15382654960042,0.4,-151.86652067010678,64.71269412050636
bucket_report_card,skip,2024,bull,bull_hot,40,-4268.636081842487,-106.71590204606218,0.375,-37.21248532747268,-69.5034167185895
bucket_report_card,skip,2025H2,bear,bear_deep,12,-1744.7399960656185,-145.39499967213487,0.3333333333333333,-161.01794086959367,15.622941197458823
bucket_report_card,skip,2026,side,side_flat,76,-1692.5874989465233,-22.2708881440332,0.5789473684210527,-49.287613180096834,27.016725036063644
bucket_report_card,skip,2025H2,side,side_down,73,5006.920845990379,68.58795679438876,0.547945205479452,33.76384578856444,34.82411100582432
bucket_report_card,skip,2026,bear,bear_mid,23,5259.08716423146,228.65596366223738,0.5652173913043478,42.362879046223775,186.2930846160136
bucket_report_card,skip,2025H2,bull,bull_mild,61,5389.151562721963,88.34674692986825,0.47540983606557374,52.428843210676504,35.91790371919175
bucket_report_card,skip,2024,bull,bull_mild,121,6468.021751245487,53.454725216904855,0.47107438016528924,-25.56868174481731,79.02340696172217
bucket_report_card,skip,2024,side,side_up,136,8163.695381591083,60.02717192346385,0.5808823529411765,-15.394406491395785,75.42157841485962
bucket_report_card,skip,2025H2,bear,bear_mild,22,9245.297842389846,420.24081101772026,0.6363636363636364,154.12837752426805,266.1124334934522
bucket_report_card,skip,2026,bear,bear_deep,26,13134.83928108326,505.18612619551,0.6153846153846154,394.05413597705774,111.13199021845223
bucket_report_card,skip,2026,side,side_up,20,17184.461057622684,859.2230528811342,0.6,146.7394980136305,712.4835548675037
bucket_report_card,skip,2025H2,side,side_up,80,26338.0293867408,329.22536733426,0.5625,176.42398761049094,152.80137972376906
