symbol,feature,target,pearson,spearman
BTCUSDT,atr_zscore_1d,raw,0.006142708919031276,0.04241169352877348
BTCUSDT,atr_zscore_1d,alpha_1d,-0.0022585240906703966,-0.0020842186475942197
BTCUSDT,atr_zscore_1d,alpha_3d,-0.0010943118476712966,-0.005097731818270267
BTCUSDT,atr_zscore_1d,alpha_7d,-0.0011128179491368818,-0.002748586572744008
BTCUSDT,return_1d,raw,-0.029926756055098196,-0.060300200720940625
BTCUSDT,return_1d,alpha_1d,-0.05616466876506219,-0.07426946695283157
BTCUSDT,return_1d,alpha_3d,-0.06558017026845459,-0.07741149857468718
BTCUSDT,return_1d,alpha_7d,-0.06860586030006527,-0.07815278208622244
BTCUSDT,efficiency_96,raw,-0.008826479598158833,-0.0004568524125625401
BTCUSDT,efficiency_96,alpha_1d,-0.020895103508658582,-0.005454894898307478
BTCUSDT,efficiency_96,alpha_3d,-0.012977063561124507,-0.003463877514321336
BTCUSDT,efficiency_96,alpha_7d,-0.01115710331055191,-0.0003735897796969141
BTCUSDT,adx_15m,raw,0.003136092104253006,0.010364935967988546
BTCUSDT,adx_15m,alpha_1d,-0.004292741283601712,0.003249907419825606
BTCUSDT,adx_15m,alpha_3d,0.0009857096670495501,0.006287093887294298
BTCUSDT,adx_15m,alpha_7d,0.004432784468753998,0.009785217823564262
BTCUSDT,bars_since_high,raw,0.019436131146645014,0.05040595555734739
BTCUSDT,bars_since_high,alpha_1d,0.04723789876464801,0.07001507343552728
BTCUSDT,bars_since_high,alpha_3d,0.052747103379788884,0.07397731010482715
BTCUSDT,bars_since_high,alpha_7d,0.05883799706951604,0.07583204021273066
BTCUSDT,atr_pct,raw,0.011058534135090423,0.03405028536616846
BTCUSDT,atr_pct,alpha_1d,-0.004875115809335731,-0.01074574134362845
BTCUSDT,atr_pct,alpha_3d,-0.0036703871845898055,-0.0066472794922369065
BTCUSDT,atr_pct,alpha_7d,-0.007656829724958292,-0.007916536322018573
