time,spread_bps,cost_bps,net_raw_bps,skipped,n_eligible,long_syms,short_syms,fold,net_with_overlay_bps,size_multiplier,cum_pnl_raw,cum_pnl_overlay,month
2025-07-19 00:00:00+00:00,-8.200053215026855,9.0,-17.200054168701172,0,15,"AVAXUSDT,BIOUSDT,TAOUSDT,TONUSDT","ARBUSDT,PENDLEUSDT,PENGUUSDT,SEIUSDT",1.0,-17.200054168701172,1.0,-17.200054168701172,-17.200054168701172,2025-07
2025-07-19 04:00:00+00:00,-120.1270980834961,4.5,-124.6270980834961,0,15,BIOUSDT,"ARBUSDT,PENDLEUSDT,PENGUUSDT",1.0,-124.6270980834961,1.0,-141.82715225219727,-141.82715225219727,2025-07
2025-07-19 08:00:00+00:00,-37.66006851196289,3.7499999999999996,-41.41006851196289,0,15,"BIOUSDT,HBARUSDT","PENDLEUSDT,PENGUUSDT",1.0,-41.41006851196289,1.0,-183.23722076416016,-183.23722076416016,2025-07
2025-07-19 12:00:00+00:00,156.07421875,3.0,153.07421875,0,15,"ARBUSDT,BIOUSDT","PENDLEUSDT,PENGUUSDT",1.0,153.07421875,1.0,-30.163002014160156,-30.163002014160156,2025-07
2025-07-19 16:00:00+00:00,-32.040382385253906,3.0,-35.040382385253906,0,15,"ARBUSDT,BIOUSDT,WIFUSDT","AVAXUSDT,PENDLEUSDT,PENGUUSDT",1.0,-35.040382385253906,1.0,-65.20338439941406,-65.20338439941406,2025-07
2025-07-19 20:00:00+00:00,-109.44696044921875,6.374999999999999,-115.82196044921875,0,15,WIFUSDT,"PENGUUSDT,TAOUSDT",1.0,-115.82196044921875,1.0,-181.0253448486328,-181.0253448486328,2025-07
2025-07-20 00:00:00+00:00,51.31459426879883,2.25,49.06459426879883,0,15,"AVAXUSDT,WIFUSDT","PENGUUSDT,TAOUSDT",1.0,49.06459426879883,1.0,-131.96075057983398,-131.96075057983398,2025-07
2025-07-20 04:00:00+00:00,-45.055580139160156,4.875,-49.930580139160156,0,15,"ARBUSDT,AVAXUSDT,WIFUSDT","NEARUSDT,PENDLEUSDT,TAOUSDT",1.0,-49.930580139160156,1.0,-181.89133071899414,-181.89133071899414,2025-07
2025-07-20 08:00:00+00:00,99.12338256835938,3.7499999999999996,95.37338256835938,0,15,"ARBUSDT,WIFUSDT","PENDLEUSDT,SUIUSDT,TAOUSDT",1.0,95.37338256835938,1.0,-86.51794815063477,-86.51794815063477,2025-07
2025-07-20 12:00:00+00:00,315.4979553222656,4.5,310.9979553222656,0,15,"ARBUSDT,ICPUSDT,TIAUSDT,WIFUSDT","AVAXUSDT,PENDLEUSDT,TAOUSDT",1.0,310.9979553222656,1.0,224.48000717163086,224.48000717163086,2025-07
2025-07-20 16:00:00+00:00,-45.35041809082031,1.125,-46.47541809082031,0,15,"ARBUSDT,TIAUSDT,WIFUSDT","AVAXUSDT,PENDLEUSDT,TAOUSDT",1.0,-46.47541809082031,1.0,178.00458908081055,178.00458908081055,2025-07
2025-07-20 20:00:00+00:00,-142.31533813476562,4.5,-146.81533813476562,0,15,"ARBUSDT,WIFUSDT",AVAXUSDT,1.0,-44.04460144042969,0.3,31.189250946044922,133.95998764038086,2025-07
2025-07-21 00:00:00+00:00,109.72684478759766,6.75,102.97684478759766,0,15,WIFUSDT,TIAUSDT,1.0,10.297684478759766,0.1,134.16609573364258,144.25767211914064,2025-07
2025-07-21 04:00:00+00:00,-39.993316650390625,6.75,-46.743316650390625,0,15,"SUIUSDT,WIFUSDT",ARBUSDT,1.0,-4.6743316650390625,0.1,87.42277908325195,139.58334045410157,2025-07
2025-07-21 08:00:00+00:00,-334.0363464355469,7.499999999999999,-341.5363464355469,0,15,"SUIUSDT,UNIUSDT",PENGUUSDT,1.0,-34.15363464355469,0.1,-254.11356735229492,105.42970581054689,2025-07
2025-07-21 12:00:00+00:00,381.4463806152344,4.5,376.9463806152344,0,15,"SUIUSDT,UNIUSDT","HBARUSDT,TONUSDT",1.0,37.69463806152344,0.1,122.83281326293945,143.12434387207034,2025-07
2025-07-21 16:00:00+00:00,143.84921264648438,6.0,137.84921264648438,0,15,"SEIUSDT,SUIUSDT","AVAXUSDT,HBARUSDT",1.0,13.784921264648439,0.1,260.6820259094238,156.90926513671877,2025-07
2025-07-21 20:00:00+00:00,69.31842041015625,6.0,63.31842041015625,0,15,"PENDLEUSDT,SEIUSDT","AVAXUSDT,ICPUSDT",1.0,6.3318420410156255,0.1,324.0004463195801,163.2411071777344,2025-07
2025-07-22 00:00:00+00:00,-105.03396606445312,6.75,-111.78396606445312,0,15,SEIUSDT,"TAOUSDT,UNIUSDT",1.0,-33.53518981933593,0.3,212.21648025512695,129.70591735839847,2025-07
2025-07-22 04:00:00+00:00,281.55963134765625,2.25,279.30963134765625,0,15,"PENGUUSDT,SEIUSDT","TAOUSDT,UNIUSDT",1.0,27.930963134765626,0.1,491.5261116027832,157.63688049316409,2025-07
2025-07-22 08:00:00+00:00,87.7741928100586,5.249999999999999,82.5241928100586,0,15,"PENDLEUSDT,SEIUSDT","AVAXUSDT,SUIUSDT,TAOUSDT,UNIUSDT",1.0,24.757257843017577,0.3,574.0503044128418,182.39413833618167,2025-07
2025-07-22 12:00:00+00:00,36.46308517456055,5.249999999999999,31.213085174560547,0,15,"BIOUSDT,SEIUSDT","AVAXUSDT,TAOUSDT",1.0,18.727851104736327,0.6,605.2633895874023,201.121989440918,2025-07
2025-07-22 16:00:00+00:00,75.06172943115234,3.7499999999999996,71.31172943115234,0,15,"BIOUSDT,HBARUSDT,SEIUSDT",TAOUSDT,1.0,42.7870376586914,0.6,676.5751190185547,243.90902709960938,2025-07
2025-07-22 20:00:00+00:00,381.4452819824219,6.75,374.6952819824219,0,15,"BIOUSDT,WIFUSDT","PENDLEUSDT,PENGUUSDT,TAOUSDT,TONUSDT",1.0,374.6952819824219,1.0,1051.2704010009766,618.6043090820312,2025-07
2025-07-23 00:00:00+00:00,0.0,0.0,0.0,0,15,,,1.0,0.0,1.0,1051.2704010009766,618.6043090820312,2025-07
2025-07-23 04:00:00+00:00,65.513671875,6.075,59.43867111206055,0,15,"AVAXUSDT,TAOUSDT,WIFUSDT","ICPUSDT,PENDLEUSDT,PENGUUSDT",1.0,59.43867111206055,1.0,1110.709072113037,678.0429801940918,2025-07
2025-07-23 08:00:00+00:00,-57.917842864990234,4.5,-62.417842864990234,0,15,AVAXUSDT,"ICPUSDT,PENDLEUSDT",1.0,-62.417842864990234,1.0,1048.2912292480469,615.6251373291016,2025-07
2025-07-23 12:00:00+00:00,-212.16014099121094,5.625,-217.78514099121094,0,15,"AVAXUSDT,PENGUUSDT","ICPUSDT,TAOUSDT,WIFUSDT",1.0,-217.78514099121094,1.0,830.5060882568359,397.8399963378906,2025-07
