universe,n_syms,train_ic,sharpe,ci_lo,ci_hi,totPnL,maxDD,folds_pos,concentration,error
N_HL20,20,0.0122,-0.66,-2.63,1.49,-2029,-4866,2/9,98%,
N_HL25,25,0.0072,1.15,-0.97,3.08,5105,-3576,4/9,61%,
N_HL30,30,0.0079,0.38,-1.95,2.43,1699,-4959,3/9,92%,
N_HL35,35,0.0062,1.07,-0.96,3.01,4826,-4757,4/9,48%,
N_HL40,40,0.0057,1.28,-0.94,3.38,5552,-3426,5/9,41%,
N_HL45,45,0.0061,1.37,-0.83,3.82,7059,-5724,6/9,59%,
N_HL50,50,0.0062,2.01,-0.28,4.24,6948,-1926,5/9,48%,
T_top5,5,-0.0031,0.0,0.0,0.0,0,0,0/9,0%,
T_top10,10,0.0026,1.8,-0.16,3.85,9110,-3398,3/9,93%,
T_top15,15,0.0098,-0.79,-2.8,1.33,-2540,-3894,3/9,66%,
T_top20,20,0.0122,-0.66,-2.63,1.49,-2029,-4866,2/9,98%,
T_top25,25,0.0072,1.15,-0.97,3.08,5105,-3576,4/9,61%,
T_top30,30,0.0079,0.38,-1.95,2.43,1699,-4959,3/9,92%,
B_bot15,15,0.0063,-0.81,-3.35,1.13,-2348,-6506,3/9,56%,
B_bot20,20,0.0037,-0.52,-3.07,1.96,-1679,-6257,3/9,100%,
B_bot25,25,0.0055,1.53,-0.59,3.57,4058,-1290,5/9,58%,
