symbol,n_rows,mean_|IC|_BASE,coverage_BASE,mean_|IC|_cohort,coverage_cohort,coverage_aggT,mean_|IC|_crossX,coverage_crossX,mean_|IC|_aggT
AAVEUSDT,114576,0.03652883180616171,1.0,0.020475757737622457,1.0,0.0,0.008988794562388044,0.020309663454824746,
ADAUSDT,116880,0.03849971632386131,1.0,0.01843891102192782,1.0,0.9732118412046543,0.017972313560971218,0.020319986310746066,0.018920051926195
APTUSDT,116880,0.01716626178530587,1.0,0.017960188414781128,1.0,0.9732118412046543,0.024894531084605823,0.020319986310746066,0.018663452137899175
ARBUSDT,116880,0.032448975247628985,1.0,0.008393264806109002,1.0,0.9732118412046543,0.01995612501123449,0.020319986310746066,0.009701547612288381
ASTERUSDT,64896,0.03708144953852429,1.0,0.041978870271439504,1.0,0.0,0.02265588943670318,0.020478920118343194,
ATOMUSDT,116880,0.026680994825288854,1.0,0.008847052308856658,1.0,0.9732118412046543,0.013788306412893414,0.020319986310746066,0.011623591052184743
AVAXUSDT,116880,0.02942753268241629,1.0,0.023777035845999966,1.0,0.9732118412046543,0.030508018919926265,0.020319986310746066,0.01195760056060834
AXSUSDT,114576,0.02274717733404882,1.0,0.011732845268953277,1.0,0.0,0.026987559760679174,0.020309663454824746,
BCHUSDT,116880,0.021711824090443203,1.0,0.027480514127418244,1.0,0.9732118412046543,0.021213615081414273,0.020319986310746066,0.018327990472604326
BIOUSDT,116880,0.03375643080932925,1.0,0.016967112258389597,1.0,0.0,0.03193204691971936,0.020319986310746066,
BNBUSDT,116880,0.01612151774857673,1.0,0.01797252820752718,1.0,0.9732118412046543,0.01772337287131718,0.020319986310746066,0.01442139906455952
DOGEUSDT,116880,0.028006181132010418,1.0,0.005812837388784295,1.0,0.9732118412046543,0.02026751235231424,0.020319986310746066,0.019130286034332263
DOTUSDT,116880,0.030821374081210023,1.0,0.014841323874615175,1.0,0.9732118412046543,0.03056850397451552,0.020319986310746066,0.02065207139736481
ENAUSDT,116880,0.02478492391206772,1.0,0.010193365533598371,1.0,0.0,0.02001609414122546,0.011627310061601642,
ETCUSDT,114576,0.038239553893660884,1.0,0.019940454196019343,1.0,0.0,0.045245108137716,0.020309663454824746,
ETHUSDT,116880,0.02860659791831122,1.0,0.018125004677693225,1.0,0.9732118412046543,0.022861753235647216,0.020319986310746066,0.051595181198009474
FILUSDT,116880,0.019223977876158004,1.0,0.01078721381849776,1.0,0.9732118412046543,0.024260875308333284,0.020319986310746066,0.010332017435676156
GMXUSDT,114576,0.021096282623853404,1.0,0.029736528818280112,1.0,0.0,0.028145687609872922,0.020309663454824746,
HBARUSDT,114576,0.03712010968429941,1.0,0.024401523896667502,1.0,0.0,0.00634503509189617,0.020309663454824746,
HYPEUSDT,97170,0.016401013532567517,1.0,0.01432294313731066,1.0,0.0,0.02857757818671259,0.020767726664608417,
ICPUSDT,114576,0.018854371313920537,1.0,0.009822641325941841,1.0,0.0,0.018458223497695055,0.020309663454824746,
INJUSDT,116880,0.03250475060486376,1.0,0.02050118992253439,1.0,0.9732118412046543,0.03363721369762975,0.020319986310746066,0.011070162514648664
JTOUSDT,116880,0.025142378837267103,1.0,0.016644585630588057,1.0,0.0,0.025106931056127307,0.020319986310746066,
JUPUSDT,116880,0.03287640445260488,1.0,0.01648701915814975,1.0,0.0,0.02877706894844231,0.020319986310746066,
LDOUSDT,114576,0.03240831663280886,1.0,0.0082689155611118,1.0,0.0,0.019685483559555312,0.020309663454824746,
LINKUSDT,116880,0.03134044195572475,1.0,0.019661145713956753,1.0,0.9732118412046543,0.023722364076264824,0.020319986310746066,0.01825750757283142
LTCUSDT,116880,0.02650998282183004,1.0,0.024139028065739754,1.0,0.9732118412046543,0.02399830531616338,0.020319986310746066,0.006771468745223855
NEARUSDT,116880,0.012796625837885269,1.0,0.006818114449384609,1.0,0.9732118412046543,0.03936866391571233,0.020319986310746066,0.010296632283018468
ONDOUSDT,116880,0.04976538102000007,1.0,0.02991711927657863,1.0,0.0,0.005688060716136096,0.020319986310746066,
OPUSDT,116880,0.029282151860304778,1.0,0.00918528338188885,1.0,0.9732118412046543,0.04359683497919091,0.020319986310746066,0.01138910866532223
ORDIUSDT,114576,0.04859416433164942,1.0,0.007400094680017711,1.0,0.0,0.08468764279084191,0.020309663454824746,
PENDLEUSDT,116880,0.034087931545923336,1.0,0.017903223555945074,1.0,0.0,0.016623601609750616,0.011627310061601642,
PENGUUSDT,116880,0.030537391643842306,1.0,0.011028961868016532,1.0,0.0,0.02482892939904256,0.020319986310746066,
PUMPUSDT,102322,0.02083469035719667,1.0,0.019946814952573846,1.0,0.0,0.03955234988448187,0.017063779050448584,
RUNEUSDT,116880,0.031778766167829764,1.0,0.010793797937580722,1.0,0.9732118412046543,,0.0,0.014173221134147693
SEIUSDT,116880,0.03855205921022746,1.0,0.01355556330047146,1.0,0.9732118412046543,0.047610649112772255,0.008649897330595482,0.014711876402727536
SOLUSDT,116880,0.01662059387904303,1.0,0.025941834672795247,1.0,0.9732118412046543,0.012079293431831315,0.020319986310746066,0.014364754648412557
STRKUSDT,115392,0.02078362018194721,1.0,0.017999783809916733,1.0,0.0,0.03718288035049794,0.02031336661120355,
SUIUSDT,116880,0.03364494010087434,1.0,0.01287187350891985,1.0,0.9732118412046543,0.009314696897011143,0.020319986310746066,0.018294206609273292
TAOUSDT,116880,0.021476491059491058,1.0,0.02414658138004897,1.0,0.0,0.02303271563025383,0.020319986310746066,
TIAUSDT,116880,0.03780570224169888,1.0,0.012497564305025544,1.0,0.9732118412046543,0.021053407704503053,0.020319986310746066,0.012079544764850413
TONUSDT,114576,0.03215427265413843,1.0,0.016728660598244377,1.0,0.0,0.013712420133139832,0.020309663454824746,
TRBUSDT,114576,0.025943394023940625,1.0,0.0212095916056677,1.0,0.0,0.045410760691658135,0.020309663454824746,
UNIUSDT,116880,0.02247979625477877,1.0,0.02026647964903885,1.0,0.9732118412046543,0.01110713991471381,0.020319986310746066,0.01567809346214979
VIRTUALUSDT,115392,0.03477971054008359,1.0,0.02058553199401904,1.0,0.0,0.006584357300766831,0.02031336661120355,
VVVUSDT,116880,0.013901691435178647,1.0,0.023074017090942978,1.0,0.0,0.02357702940214894,0.0,
WIFUSDT,114576,0.03287088284966915,1.0,0.022856581198318626,1.0,0.0,0.03725638354616822,0.020309663454824746,
WLDUSDT,116880,0.037664996133562625,1.0,0.009418094787973232,1.0,0.9732118412046543,0.016542773904289165,0.020319986310746066,0.01658725710234197
XRPUSDT,116880,0.026785530780215644,1.0,0.01694705195584965,1.0,0.9732118412046543,0.005798439431270237,0.020319986310746066,0.013214189798394976
ZECUSDT,116880,0.01990827589528765,1.0,0.02509108544778608,1.0,0.0,0.024526909632507053,0.009069130732375086,
