test,variant,sharpe,n_syms,feature_set,model,arch,panel,note
X6 matrix,LGBM_poolpsymid_BASE,-1.44,,BASE,LGBM,pool+symid,v1,
X6 matrix,LGBM_poolpsymid_paggT,-0.63,,+aggT,LGBM,pool+symid,v1,
X6 matrix,LGBM_poolpsymid_pv3,-2.03,,+v3,LGBM,pool+symid,v1,
X6 matrix,LGBM_pool-nosym_BASE,-2.55,,BASE,LGBM,pool-nosym,v1,
X6 matrix,LGBM_pool-nosym_paggT,-3.94,,+aggT,LGBM,pool-nosym,v1,
X6 matrix,LGBM_pool-nosym_pv3,-1.42,,+v3,LGBM,pool-nosym,v1,
X6 matrix,LGBM_per-sym_BASE,-2.23,,BASE,LGBM,per-sym,v1,
X6 matrix,LGBM_per-sym_paggT,-2.34,,+aggT,LGBM,per-sym,v1,
X6 matrix,LGBM_per-sym_pv3,-1.12,,+v3,LGBM,per-sym,v1,
X6 matrix,Ridge_poolpsymid_BASE,0.38,,BASE,Ridge,pool+symid,v1,
X6 matrix,Ridge_poolpsymid_paggT,1.22,,+aggT,Ridge,pool+symid,v1,
X6 matrix,Ridge_poolpsymid_pcohort,0.38,,+cohort,Ridge,pool+symid,v1,
X6 matrix,Ridge_poolpsymid_pv3,-0.04,,+v3,Ridge,pool+symid,v1,
X6 matrix,Ridge_pool-nosym_BASE,0.08,,BASE,Ridge,pool-nosym,v1,
X6 matrix,Ridge_pool-nosym_paggT,0.38,,+aggT,Ridge,pool-nosym,v1,
X6 matrix,Ridge_pool-nosym_pcohort,0.08,,+cohort,Ridge,pool-nosym,v1,
X6 matrix,Ridge_pool-nosym_pv3,0.3,,+v3,Ridge,pool-nosym,v1,
X6 matrix,Ridge_per-sym_BASE,0.34,,BASE,Ridge,per-sym,v1,
X6 matrix,Ridge_per-sym_paggT,0.45,,+aggT,Ridge,per-sym,v1,
X6 matrix,Ridge_per-sym_pcohort,0.34,,+cohort,Ridge,per-sym,v1,
X6 matrix,Ridge_per-sym_pv3,0.85,,+v3,Ridge,per-sym,v1,
X6 matrix,LGBM_pool+symid_pcohort,-1.42,,+cohort,LGBM,pool+symid,v1,
X6 matrix,LGBM_pool-nosym_pcohort,-1.11,,+cohort,LGBM,pool-nosym,v1,
X6 matrix,LGBM_per-sym_pcohort,-0.84,,+cohort,LGBM,per-sym,v1,
X6 matrix,Ridge_pool+symid_pcohort,-0.72,,+cohort,Ridge,pool+symid,v1,
X6 matrix,Ridge_pool-nosym_pcohort,0.15,,+cohort,Ridge,pool-nosym,v1,
X6 matrix,Ridge_per-sym_pcohort,2.01,,+cohort,Ridge,per-sym,v1,
X6 matrix,LGBM_pool+symid_pcrossX,-1.06,,+crossX,LGBM,pool+symid,v1,
X6 matrix,LGBM_pool-nosym_pcrossX,-1.59,,+crossX,LGBM,pool-nosym,v1,
X6 matrix,LGBM_per-sym_pcrossX,-0.17,,+crossX,LGBM,per-sym,v1,
X6 matrix,Ridge_pool+symid_pcrossX,0.43,,+crossX,Ridge,pool+symid,v1,
X6 matrix,Ridge_pool-nosym_pcrossX,0.05,,+crossX,Ridge,pool-nosym,v1,
X6 matrix,Ridge_per-sym_pcrossX,1.12,,+crossX,Ridge,per-sym,v1,
X6 matrix,Ridge_pool+symid_pall,-1.11,,+ALL,Ridge,pool+symid,v1,
X6 matrix,Ridge_pool-nosym_pall,-0.08,,+ALL,Ridge,pool-nosym,v1,
X6 matrix,Ridge_per-sym_pall,1.44,,+ALL,Ridge,per-sym,v1,
X6 matrix,X10_Ridge_pool+symid_BASE_c1,0.09,,BASE,Ridge,pool+symid_C1norm,v1,
X6 matrix,X10_Ridge_pool+symid_paggT_c1,1.38,,paggT,Ridge,pool+symid_C1norm,v1,
X6 matrix,X10_Ridge_pool+symid_pcohort_c1,-0.1,,pcohort,Ridge,pool+symid_C1norm,v1,
X6 matrix,X10_Ridge_pool+symid_pv3_c1,-0.58,,pv3,Ridge,pool+symid_C1norm,v1,
X6 matrix,X10_Ridge_pool+symid_pcrossX_c1,-0.03,,pcrossX,Ridge,pool+symid_C1norm,v1,
X6 matrix,X10_Ridge_pool+symid_pall_c1,-0.41,,pall,Ridge,pool+symid_C1norm,v1,
X22 panel_v2,C1_Ridge_pool+symid_paggT,0.68,,,Ridge,pool+symid,v2,
X22 panel_v2,C2_Ridge_per-sym_paggT,0.62,,,Ridge,per-sym,v2,
X22 panel_v2,C3_Ridge_per-sym_pcohort,2.01,,,Ridge,per-sym,v2,
X22 panel_v2,C4_LGBM_pool+symid_paggT,-0.92,,,LGBM,pool+symid,v2,
X22 panel_v2,C5_LGBM_per-sym_paggT,-1.04,,,LGBM,per-sym,v2,
X29 panel_v2,V0_BASE_cohort_v2,2.01,,baseline (BASE+cohort),,,v2,
X29 panel_v2,V1_BASE_cohort_aggT_v2,1.52,,BASE + cohort + aggT (full coverage),,,v2,
X29 panel_v2,V2_BASE_cohort_crossX_v2,1.9,,BASE + cohort + crossX,,,v2,
X29 panel_v2,V3_BASE_cohort_aggT_crossX_v2,1.35,,BASE + cohort + aggT + crossX,,,v2,
X29 panel_v2,V5_BASE_cohort_ALL_v2,1.66,,BASE + cohort + ALL,,,v2,
X23 universe,N_HL20,-0.66,20.0,BASE+cohort,Ridge,per-sym,v1,
X23 universe,N_HL25,1.15,25.0,BASE+cohort,Ridge,per-sym,v1,
X23 universe,N_HL30,0.38,30.0,BASE+cohort,Ridge,per-sym,v1,
X23 universe,N_HL35,1.07,35.0,BASE+cohort,Ridge,per-sym,v1,
X23 universe,N_HL40,1.28,40.0,BASE+cohort,Ridge,per-sym,v1,
X23 universe,N_HL45,1.37,45.0,BASE+cohort,Ridge,per-sym,v1,
X23 universe,N_HL50,2.01,50.0,BASE+cohort,Ridge,per-sym,v1,
X23 universe,T_top5,0.0,5.0,BASE+cohort,Ridge,per-sym,v1,
X23 universe,T_top10,1.8,10.0,BASE+cohort,Ridge,per-sym,v1,
X23 universe,T_top15,-0.79,15.0,BASE+cohort,Ridge,per-sym,v1,
X23 universe,T_top20,-0.66,20.0,BASE+cohort,Ridge,per-sym,v1,
X23 universe,T_top25,1.15,25.0,BASE+cohort,Ridge,per-sym,v1,
X23 universe,T_top30,0.38,30.0,BASE+cohort,Ridge,per-sym,v1,
X23 universe,B_bot15,-0.81,15.0,BASE+cohort,Ridge,per-sym,v1,
X23 universe,B_bot20,-0.52,20.0,BASE+cohort,Ridge,per-sym,v1,
X23 universe,B_bot25,1.53,25.0,BASE+cohort,Ridge,per-sym,v1,
X32 HL-70,HL70_full,-0.11,70.0,BASE+cohort,Ridge,per-sym,hl70,
X32 HL-70,HL50_sanity,0.84,50.0,BASE+cohort,Ridge,per-sym,hl70,
X32 HL-70,HL70_top30,-1.01,30.0,BASE+cohort,Ridge,per-sym,hl70,
X32 HL-70,HL70_top15,-0.65,15.0,BASE+cohort,Ridge,per-sym,hl70,
X32 HL-70,HL70_bot20,-0.34,20.0,BASE+cohort,Ridge,per-sym,hl70,
X32 HL-70,HL70_no_AI,-1.34,67.0,BASE+cohort,Ridge,per-sym,hl70,
X32 HL-70,HL70_minus_top10,0.69,60.0,BASE+cohort,Ridge,per-sym,hl70,
X24 cluster,C_l1_established,-0.38,7.0,BASE+cohort,Ridge,per-sym,v1,
X24 cluster,C_l1_newer,1.14,11.0,BASE+cohort,Ridge,per-sym,v1,
X24 cluster,C_defi,-0.05,11.0,BASE+cohort,Ridge,per-sym,v1,
