label,threshold,mode,sharpe,delta_vs_base,folds_pos,n_cycles
HL50_V5mv3_7cx,0.05,filter,1.05,-0.69,4/9,74129
HL50_V5mv3_7cx,0.05,zero,0.32,-1.42,5/9,103894
HL50_V5mv3_7cx,0.1,filter,-2.02,-3.76,1/9,87001
HL50_V5mv3_7cx,0.1,zero,0.66,-1.08,4/9,103894
HL50_V5mv3_7cx,0.15,filter,0.87,-0.87,4/9,96587
HL50_V5mv3_7cx,0.15,zero,1.67,-0.07000000000000006,6/9,103894
HL50_V5mv3_7cx,0.2,filter,0.75,-0.99,5/9,100366
HL50_V5mv3_7cx,0.2,zero,1.33,-0.4099999999999999,7/9,103894
HL50_V5mv3_7cx,0.3,filter,1.74,0.0,6/9,103894
HL50_V5mv3_7cx,0.3,zero,1.74,0.0,6/9,103894
HL70_V5mv3_7cx,0.05,filter,-0.36,-2.03,2/9,81847
HL70_V5mv3_7cx,0.05,zero,1.29,-0.3799999999999999,3/9,117019
HL70_V5mv3_7cx,0.1,filter,0.24,-1.43,4/9,96094
HL70_V5mv3_7cx,0.1,zero,2.17,0.5,6/9,117019
HL70_V5mv3_7cx,0.15,filter,0.11,-1.5599999999999998,4/9,107675
HL70_V5mv3_7cx,0.15,zero,-0.01,-1.68,3/9,117019
HL70_V5mv3_7cx,0.2,filter,0.78,-0.8899999999999999,4/9,112281
HL70_V5mv3_7cx,0.2,zero,0.8,-0.8699999999999999,2/9,117019
HL70_V5mv3_7cx,0.3,filter,-0.61,-2.28,3/9,116649
HL70_V5mv3_7cx,0.3,zero,-0.02,-1.69,3/9,117019
