cell,model,arch,feature_set,n_feats,train_ic,sharpe,ci_lo,ci_hi,totPnL,maxDD,folds_pos,concentration,net_bps_cycle,train_time_s,error
LGBM_poolpsymid_BASE,LGBM,pool+symid,BASE,14,0.0103,-1.44,-3.22,0.34,-4721,-5117,1/9,100%,-2.18,123.0,
LGBM_poolpsymid_paggT,LGBM,pool+symid,+aggT,19,0.0082,-0.63,-2.6,1.2,-1800,-3435,3/9,94%,-0.83,123.0,
LGBM_poolpsymid_pcohort,LGBM,pool+symid,+cohort,17,,,,,,,,,,,"train: ""['rvol_7d', 'ret_3d', 'btc_rvol_7d'] not in index"""
LGBM_poolpsymid_pv3,LGBM,pool+symid,+v3,18,0.0083,-2.03,-4.0,-0.05,-6648,-7427,1/9,100%,-3.07,125.0,
LGBM_pool-nosym_BASE,LGBM,pool-nosym,BASE,14,0.0087,-2.55,-4.33,-0.65,-7427,-8028,2/9,98%,-3.43,110.0,
LGBM_pool-nosym_paggT,LGBM,pool-nosym,+aggT,19,0.0074,-3.94,-5.86,-1.97,-10541,-10559,1/9,100%,-4.87,133.0,
LGBM_pool-nosym_pcohort,LGBM,pool-nosym,+cohort,17,,,,,,,,,,,"train: ""['rvol_7d', 'ret_3d', 'btc_rvol_7d'] not in index"""
LGBM_pool-nosym_pv3,LGBM,pool-nosym,+v3,18,0.0099,-1.42,-3.5,0.85,-3568,-3962,2/9,99%,-1.65,129.0,
LGBM_per-sym_BASE,LGBM,per-sym,BASE,14,0.001,-2.23,-3.95,-0.26,-8340,-10234,2/9,100%,-3.85,128.0,
LGBM_per-sym_paggT,LGBM,per-sym,+aggT,19,-0.0007,-2.34,-3.95,-0.44,-8613,-9966,2/9,92%,-3.98,127.0,
LGBM_per-sym_pcohort,LGBM,per-sym,+cohort,17,,,,,,,,,,,"train: ""['rvol_7d', 'ret_3d', 'btc_rvol_7d'] not in index"""
LGBM_per-sym_pv3,LGBM,per-sym,+v3,18,0.0003,-1.12,-2.97,0.82,-3786,-6959,3/9,67%,-1.75,128.0,
Ridge_poolpsymid_BASE,Ridge,pool+symid,BASE,14,0.0079,0.38,-1.64,2.22,1681,-4534,2/9,99%,0.78,223.0,
Ridge_poolpsymid_paggT,Ridge,pool+symid,+aggT,19,0.007,1.22,-0.72,3.0,5438,-3302,5/9,76%,2.51,248.0,
Ridge_poolpsymid_pcohort,Ridge,pool+symid,+cohort,17,0.0079,0.38,-1.64,2.22,1681,-4534,2/9,99%,0.78,231.0,
Ridge_poolpsymid_pv3,Ridge,pool+symid,+v3,18,-0.0027,-0.04,-2.03,1.83,-170,-4519,3/9,93%,-0.08,245.0,
Ridge_pool-nosym_BASE,Ridge,pool-nosym,BASE,14,0.0102,0.08,-1.76,1.87,323,-2366,3/9,74%,0.15,92.0,
Ridge_pool-nosym_paggT,Ridge,pool-nosym,+aggT,19,0.01,0.38,-1.69,2.43,1484,-3760,5/9,80%,0.69,117.0,
Ridge_pool-nosym_pcohort,Ridge,pool-nosym,+cohort,17,0.0102,0.08,-1.76,1.87,323,-2366,3/9,74%,0.15,103.0,
Ridge_pool-nosym_pv3,Ridge,pool-nosym,+v3,18,0.0012,0.3,-1.57,2.17,1116,-4478,2/9,100%,0.52,112.0,
Ridge_per-sym_BASE,Ridge,per-sym,BASE,14,0.0078,0.34,-1.75,2.46,1017,-2959,4/9,61%,0.47,80.0,
Ridge_per-sym_paggT,Ridge,per-sym,+aggT,19,0.0059,0.45,-1.77,2.63,1407,-4062,5/9,48%,0.65,97.0,
Ridge_per-sym_pcohort,Ridge,per-sym,+cohort,17,0.0078,0.34,-1.75,2.46,1017,-2959,4/9,61%,0.47,83.0,
Ridge_per-sym_pv3,Ridge,per-sym,+v3,18,0.002,0.85,-1.45,2.98,2906,-3561,4/9,41%,1.34,97.0,
LGBM_pool+symid_pcohort,LGBM,pool+symid,+cohort,17,0.0156,-1.42,-3.01,0.39,-4639,-5267,2/9,61%,-2.14,120.0,
LGBM_pool-nosym_pcohort,LGBM,pool-nosym,+cohort,17,0.0161,-1.11,-3.08,0.88,-3125,-4857,1/9,100%,-1.44,116.0,
LGBM_per-sym_pcohort,LGBM,per-sym,+cohort,17,0.0019,-0.84,-2.7,1.0,-2641,-3416,3/9,50%,-1.22,125.0,
Ridge_pool+symid_pcohort,Ridge,pool+symid,+cohort,17,-0.0008,-0.72,-2.72,1.37,-1768,-4734,4/9,59%,-0.82,226.0,
Ridge_pool-nosym_pcohort,Ridge,pool-nosym,+cohort,17,0.0046,0.15,-1.45,1.83,486,-2405,4/9,39%,0.22,95.0,
