sharpe,boot_lcb,boot_hcb,folds_pos,n_folds,totPnL,maxDD,gross_avg,cost_avg,herfindahl,gini,n_eff,mde_sharpe,top1_pnl_share,sizing,cost_mode,cap,cap_retention
2.229,0.288,4.105,7,9,8385.0,-3445.0,5.893,0.717,0.0937,0.5486,147.3,17.923,0.2543,equal,flat45,inf,1.0
2.229,0.288,4.105,7,9,8385.0,-3445.0,5.893,0.717,0.0937,0.5486,147.3,17.923,0.2543,equal,flat45,1/2,1.0
2.062,0.141,3.949,8,9,7652.0,-3580.0,5.446,0.723,0.0944,0.545,147.3,16.978,0.2567,equal,flat45,1/3,0.925
1.866,-0.152,3.761,6,9,6007.0,-3646.0,4.448,0.74,0.0912,0.5479,147.3,15.898,0.2471,equal,flat45,1/5,0.837
1.634,-0.333,3.559,6,9,3974.0,-2465.0,3.106,0.652,0.0854,0.5362,147.3,14.671,0.2335,equal,flat45,1/8,0.733
1.92,-0.071,3.825,7,9,7223.0,-3841.0,5.893,1.434,0.0937,0.5486,147.3,16.191,0.2543,equal,flat9,inf,1.0
1.92,-0.071,3.825,7,9,7223.0,-3841.0,5.893,1.434,0.0937,0.5486,147.3,16.191,0.2543,equal,flat9,1/2,1.0
1.747,-0.243,3.638,7,9,6481.0,-3979.0,5.446,1.446,0.0944,0.545,147.3,15.259,0.2567,equal,flat9,1/3,0.91
1.494,-0.566,3.384,6,9,4809.0,-4045.0,4.448,1.48,0.0912,0.5479,147.3,13.967,0.2471,equal,flat9,1/5,0.778
1.199,-0.817,3.138,6,9,2918.0,-2804.0,3.106,1.305,0.0854,0.5362,147.3,12.589,0.2335,equal,flat9,1/8,0.624
2.131,0.175,4.008,7,9,8014.0,-3528.0,5.893,0.946,0.0937,0.5486,147.3,17.362,0.2543,equal,realized,inf,1.0
2.131,0.175,4.008,7,9,8014.0,-3528.0,5.893,0.946,0.0937,0.5486,147.3,17.362,0.2543,equal,realized,1/2,1.0
1.963,0.014,3.852,8,9,7285.0,-3664.0,5.446,0.949,0.0944,0.545,147.3,16.429,0.2567,equal,realized,1/3,0.921
1.754,-0.276,3.64,6,9,5645.0,-3728.0,4.448,0.963,0.0912,0.5479,147.3,15.295,0.2471,equal,realized,1/5,0.823
1.515,-0.445,3.449,6,9,3685.0,-2527.0,3.106,0.831,0.0854,0.5362,147.3,14.071,0.2335,equal,realized,1/8,0.711
2.135,0.091,4.021,7,9,6933.0,-2864.0,5.0,0.72,0.081,0.5192,147.3,17.39,0.2226,volnorm,flat45,inf,1.0
2.135,0.091,4.021,7,9,6933.0,-2864.0,5.0,0.72,0.081,0.5192,147.3,17.39,0.2226,volnorm,flat45,1/2,1.0
2.045,0.056,3.957,7,9,6595.0,-2935.0,4.799,0.728,0.0837,0.5231,147.3,16.881,0.23,volnorm,flat45,1/3,0.958
1.935,-0.15,3.878,6,9,5766.0,-3204.0,4.306,0.747,0.085,0.5371,147.3,16.275,0.2314,volnorm,flat45,1/5,0.906
1.607,-0.406,3.59,7,9,3903.0,-2479.0,3.064,0.654,0.0867,0.5424,147.3,14.536,0.2359,volnorm,flat45,1/8,0.753
